,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
FASTKD5,654,739,625,646,743,539
CCDC81,6,10,10,6,14,6
AASDHPPT,1028,1149,1015,1248,1636,1147
BCL7A,195,236,185,272,346,232
RNH1,4288,5390,4246,5311,6649,3941
AGBL5,903,1008,881,1076,1275,866
RNPEP,1003,1171,953,2004,2435,1672
LDAH,276,279,291,258,328,250
ELAC2,2560,3093,2616,3333,4253,2706
ALX4,1,7,3,6,10,12
GUF1,2139,2363,2103,2034,2520,1879
SPCS3,4460,4811,4424,4783,6141,4502
NAA35,1933,2240,2073,2105,2499,1845
RINT1,346,387,365,502,594,416
ABCE1,2319,2406,2178,3649,4460,3237
SCOC,1199,1264,1123,1276,1678,1217
DHX35,857,912,814,964,1184,776
RIC8A,3378,3951,3343,4371,5503,3417
CYB5RL,198,251,240,334,408,292
SNORD68,22,29,23,29,30,12
UBE2MP1,77,113,74,106,127,126
MIIP,192,253,186,299,355,252
LOC606724,3,2,1,2,5,3
ATG101,638,768,665,679,885,556
GAS5,1771,1975,1760,1843,2194,1538
PAPPA2,6,3,4,6,8,4
CELF6,64,68,89,26,32,16
EEFSEC,374,495,388,467,625,428
FKBP10,7,7,10,12,13,14
SMAP1,907,1051,916,914,1117,792
TRAPPC11,1302,1431,1330,1430,1915,1237
ZFAND3,4090,4824,4074,5403,6309,4306
C14orf93,168,186,168,233,272,184
BCL9,769,937,791,1007,1293,875
SNORD15A,6,4,5,3,4,1
SNORA73A,23,15,13,28,59,28
SNORD21,7,8,4,6,5,10
ROBO1,1681,2017,1813,1714,2028,1476
ROBO2,277,301,308,368,457,337
ROCK1,3814,4112,4133,4391,5288,4088
ROM1,44,53,45,41,49,29
RORA,73,67,61,75,94,53
RORB,73,77,62,111,139,115
RORC,2,9,1,3,7,1
HCN2,32,19,29,22,20,13
RP9,232,273,217,416,447,319
RP2,670,731,676,775,1012,700
RPGR,224,233,264,279,333,270
OPN1SW,61,69,61,52,69,45
RPA1,4809,5668,4794,6468,7918,5316
RPA2,1592,1879,1498,1837,2343,1507
RPA3,589,751,551,889,1110,750
RPE,914,1005,850,1171,1550,1180
RPE65,3,6,2,3,8,1
RPL3,19637,23854,18720,23846,30157,19155
RPL4,23307,27508,21965,25988,32635,22198
RPL5,18293,21577,17383,20866,26843,18227
RPL6,20661,24142,19503,22738,28394,19230
RPL7,6575,7778,6423,8697,11608,7399
BCR,2248,2761,2378,2767,3229,2125
RPL7A,21036,25981,19978,23785,30186,19172
NPIPB13,165,156,173,174,181,148
LOC613038,43,38,29,30,34,25
CYP51A1-AS1,6,10,13,9,14,10
RPL8,19835,25058,19275,26690,33552,20389
LOC613206,4,6,3,7,9,6
HIGD1C,6,4,3,4,4,5
RPL9,7384,8233,6544,8571,11038,7373
RPL10,19742,24048,19026,22133,28180,17732
RPL11,11455,13093,10776,12972,16072,11210
RPL12,12563,14724,11516,15862,19720,13541
RPL13,16537,20674,15864,19105,23672,14511
RPL15,19626,23125,18889,20309,25946,16928
RPL17,3142,3748,2974,4073,5294,3526
RPL18,9346,11288,8858,10366,12830,7926
RPL18A,16710,21051,16652,17454,21333,13167
RPL19,17429,20427,16057,20434,24909,16114
RPL21,3517,4045,3120,3571,4530,3274
RPL22,5247,6083,4978,5161,6894,4659
RPL23A,12698,14885,12180,14403,17570,11587
MRPL23,573,709,533,523,622,389
RPL24,6582,7478,6109,8460,11076,7485
RPL26,9338,11079,8655,10900,14065,9860
RPL27,9629,11758,8879,11127,13977,9243
RPL30,6799,7884,6217,7130,9482,6184
RPL27A,13495,15885,12362,12648,15826,10517
RPL28,11346,13991,11110,12260,15266,9012
RPL29,10812,13315,10339,12888,16036,10335
RPL31,13108,15317,12179,14834,19452,12805
RPL32,12823,15568,12256,14748,18701,12325
RPL34,4184,4965,3987,4296,5627,3911
RPL35A,6558,7565,6074,7464,9791,6528
RPL36AL,4491,5193,4368,4649,5956,4011
RPL37,10472,12359,10030,10950,13492,9555
RPL37A,8385,10171,8115,9768,12619,7811
RPL38,4093,4881,3832,4913,6535,4026
BCS1L,357,353,379,489,603,410
RPL39,8629,9857,7826,9184,11979,7980
RPL41,5517,6668,5252,7089,8951,5833
RPL36A,2740,3113,2433,3396,4411,2843
RPLP0,47273,59662,45347,50831,64966,40465
RPLP1,11771,14418,10797,12415,14886,9693
BCYRN1,6,12,4,13,11,11
RPLP2,9966,11974,9471,10890,12660,8443
MRPL12,797,994,768,1604,2046,1260
MRPS12,661,851,617,738,867,534
RPN1,4483,5459,4174,4832,5978,3963
RPN2,9384,10943,8968,12399,15433,10494
RPS2,15905,19775,14890,22947,28722,17559
RPS3,15260,18780,14922,21078,27150,16909
RPS3A,14328,16634,13065,15533,20509,13800
RPS4X,22663,26273,21794,22739,29068,19707
SERINC4,209,208,215,119,162,101
FDPSP2,9,14,9,13,39,13
SCART1,97,111,140,80,123,73
FAM229B,76,92,85,60,102,72
ZNF704,259,260,254,185,229,211
RPS5,8339,10546,7853,9921,11717,7538
LINC00589,119,115,107,65,85,79
MBOAT4,3,6,5,2,6,1
SCARNA9,33,23,15,20,42,27
RPS6,16180,18835,15199,19165,24348,16796
FAM85A,6,7,7,14,13,9
SPANXA2-OT1,0,5,4,3,6,7
SNORD74,10,10,9,12,20,14
SNORA27,6,4,5,6,4,8
RPS6KA1,1008,1202,1034,1421,1924,1163
SNORA21,7,6,6,10,10,7
SSBP3-AS1,18,19,23,16,26,21
SNORA3A,15,11,8,13,15,9
SNORA7A,14,22,17,24,27,14
SNORA52,12,22,9,15,14,14
SNORD2,38,42,37,54,55,43
SNORA4,24,24,25,45,39,35
SNORA41,4,3,6,5,6,4
SNORD95,13,13,12,13,15,10
SNORD96A,88,106,84,108,155,115
RPS6KA2,222,232,217,276,308,206
RPS6KA3,2012,2184,2046,2257,2735,2004
RPS6KB1,1369,1540,1326,1388,1646,1253
RPS6KB2,1001,1205,919,958,1181,780
RPS7,7647,8990,7311,8884,11136,7491
RPS8,12564,14730,11707,15739,19608,13403
RPS9,7965,9868,7743,9124,11915,7111
RPS10,6665,8121,6418,8876,11365,6982
RPS11,15748,19067,14876,16745,21498,13744
RPS12,10715,12925,10055,11997,14968,9741
RPS13,6452,7395,6081,7039,8681,5770
RPS14,8925,10609,8123,10395,13404,8446
RPS15,3843,5153,3848,5208,6198,3703
RPS15A,6390,7413,5935,5944,7949,5199
RPS16,11639,14445,11429,12988,16532,10151
RPS17,8561,10244,8062,10203,13313,8492
BDH1,511,596,524,742,864,609
RPS18,27049,33164,24357,32179,41182,27278
RPS19,12094,14512,11811,12620,15696,9575
RPS20,6060,7140,5587,6396,8180,5308
RPS21,6594,8298,6318,7579,9517,6063
RPS23,11531,13644,11195,14687,18867,12424
RPS24,14497,16373,13796,16628,21392,14973
RPS25,6820,7731,6301,7129,9124,6098
RPS26,2464,2930,2476,3017,3823,2336
RPS27,8807,10667,8121,7637,9677,6300
RPS27A,10607,12215,10155,11829,15300,10389
RPS28,4590,5718,4530,5626,6936,4054
RPS29,6803,8101,6756,6870,9748,5645
RRAD,433,530,450,236,233,154
RRAS,1160,1384,1148,1116,1346,868
RRBP1,16277,18562,16172,17691,19633,13904
RREB1,1522,1829,1667,1755,2084,1385
RRM1,4173,4681,4095,8021,10111,7180
RRM2,3575,4151,3405,6464,7830,5287
RTKN,587,732,637,750,917,561
RSC1A1,133,138,140,201,230,158
CLIP1,2987,3167,3045,4279,5085,3850
RSU1,1482,1713,1565,1617,2055,1374
RTN1,10,16,15,39,57,36
RTN2,667,774,646,593,754,439
RXRA,1910,2323,1902,2483,2929,1846
RXRB,2530,3053,2597,2679,3396,2161
RYK,1010,1224,985,1009,1331,923
RYR2,24,40,34,29,46,24
RYR3,42,35,40,40,41,42
BDNF,622,734,667,640,711,577
S100A1,17,16,17,19,32,22
SORT1,5990,6585,5936,5666,6964,4964
S100A2,2633,3146,2384,3735,5028,3119
S100A3,391,466,389,542,661,468
S100A4,17111,20151,15553,15931,19647,13173
S100A5,281,287,248,326,399,253
S100A6,82099,97514,76899,87508,113767,72330
S100A10,7584,8585,6874,10222,12889,8725
S100A11,6188,7514,5817,7337,8829,5939
S100A13,1693,2077,1551,1995,2701,1676
S100P,72,76,53,57,76,47
SAA1,426,512,404,503,516,348
SAA2,202,199,200,198,197,172
CFB,1155,1238,1170,1217,1437,1124
SAA4,6,9,6,5,3,8
VPS52,1897,2057,1838,2073,2605,1718
SAFB,2523,2951,2475,3404,4119,2752
ACSM3,48,46,48,76,88,76
SALL2,87,91,100,143,163,88
MAPK12,261,351,302,386,490,274
SARS1,3302,4032,3236,5256,6836,4478
TSPAN31,883,1009,848,1076,1352,909
SLC22A23,88,84,86,77,88,52
SAT1,2581,2771,2526,2158,2781,2176
BCORL1,753,859,789,941,1100,751
SATB1,1627,1782,1633,1201,1562,1139
SBF1,5908,7305,6237,5538,6537,4080
MSMO1,1793,2026,1898,1321,1833,1402
SC5D,845,924,796,623,833,623
BFSP1,947,1175,932,295,371,271
ATXN1,2510,2790,2613,1445,1915,1325
ATXN2,1572,1778,1637,1891,2122,1560
ATXN7,1361,1428,1448,1739,1863,1459
SERPINB4,2,1,4,2,9,8
SCD,65182,72188,65192,43444,54556,40318
BGLAP,58,72,61,40,57,34
SCML1,1038,1068,1083,1041,1285,934
SCN1B,70,112,89,54,77,43
SCN2A,4,5,4,15,16,8
SCN3A,1,1,5,11,12,9
SCN5A,949,1112,1071,1402,1564,1069
SCN9A,90,87,85,103,110,93
SCNN1A,538,576,573,625,699,543
SCNN1D,156,197,198,236,275,179
CEACAM1,4,4,4,19,18,12
SCO1,1299,1476,1320,1399,1640,1158
SCP2,4070,4628,4203,3801,4844,3579
SCT,16,11,21,15,18,10
CCL5,0,4,3,8,5,4
BICD1,569,627,675,585,733,532
CCL20,15,8,9,14,20,6
CCL24,5,4,5,6,11,2
BID,570,623,533,669,915,605
CXCL11,4,2,4,13,12,8
CXCL5,4,1,2,27,26,1
XCL1,4,10,15,0,1,4
CX3CL1,84,106,94,116,129,112
BIK,10,12,15,21,17,12
SDC1,724,816,702,1849,2329,1412
SRR,882,989,828,1051,1298,896
BCAN,41,48,48,41,43,32
SDC2,1124,1308,1170,1240,1552,1063
SDC4,3536,3984,3377,5554,6774,4954
SDCBP,7065,8071,6862,5596,7246,5367
ABHD4,1762,2163,1805,1427,1824,1152
MRPL17,1751,2169,1593,2259,2779,1744
PKNOX2,46,52,59,25,53,28
FAM204A,914,959,871,980,1216,988
SDF2,867,1180,825,886,1136,743
SDHA,3570,4271,3477,4563,5745,3620
RNF123,1780,2066,1802,1690,2081,1359
THADA,646,702,616,992,1155,801
UBE2O,2399,2862,2493,2530,3089,1940
VIPAS39,690,770,652,773,1031,658
PIEZO2,581,640,592,270,288,210
HEATR6,764,872,787,1002,1258,820
SH2D4A,752,845,694,803,954,616
NSUN3,461,525,463,470,677,449
PRDM1,67,77,75,63,83,75
SDHB,1143,1364,1134,1440,1873,1264
FAM111A,1560,1636,1529,2550,3056,2239
MANBAL,853,1027,879,1578,1950,1281
GPATCH3,372,499,424,377,523,309
NAPB,352,420,424,465,615,490
SDHC,2468,2796,2282,3119,4004,2644
SLC17A9,1833,2230,1968,1679,1918,1238
LINC01590,24,18,22,18,21,11
BLOC1S5,234,266,205,275,369,270
ELMO2,1482,1782,1494,1639,1995,1362
GALNT11,458,470,456,587,740,493
SDHD,1492,1691,1498,1958,2548,1687
ZBED8,207,256,221,231,303,212
CHTF18,788,1000,899,1306,1554,914
CIDEC,0,4,4,10,6,1
ZNF335,1066,1271,1140,1353,1544,1079
ANKEF1,266,295,281,303,378,250
XPNPEP3,649,782,727,667,967,566
MRPS14,362,466,398,439,550,370
STEEP1,719,815,667,944,1148,841
MCUR1,1615,1898,1640,1946,2539,1665
PCIF1,1333,1519,1326,1968,2431,1507
FAM217B,445,466,394,637,748,586
GPSM3,1640,1962,1589,2045,2653,1756
NECAB3,474,588,521,607,746,451
FKBPL,286,335,284,341,393,276
SEC13,2712,3517,2738,3357,4090,2740
CLSPN,1795,2082,1966,3345,4683,3020
SEC14L1,7186,8709,7245,7085,8493,5979
TP53AIP1,19,15,21,3,7,9
KIF13A,1211,1318,1266,1768,2198,1496
PRDM15,425,429,410,483,593,389
FIGNL1,973,1175,1034,1488,1821,1404
SECTM1,172,217,161,241,278,180
ANO3,8,5,6,6,9,5
TRAPPC2,210,231,206,192,273,236
BLK,0,2,1,9,3,2
SEL1L,4965,5388,5041,5135,6304,4803
SELL,75,106,87,118,143,81
SELP,39,47,42,30,43,28
SELPLG,62,75,64,64,84,51
SEMA3F,700,839,699,813,984,601
TSPYL2,743,913,804,799,976,732
RBM26,2387,2481,2686,2644,3161,2489
PRSS22,88,111,91,111,166,84
OXCT2,8,6,8,10,10,14
PERP,1530,1858,1527,1864,2418,1643
NPAS3,9,6,9,7,19,5
CDH23,21,19,20,19,30,15
C19orf33,1725,2114,1607,2057,2444,1593
LHPP,355,416,333,267,335,251
RBKS,192,241,178,167,235,163
PBLD,79,85,81,67,83,64
GOLPH3,2340,2743,2190,2167,2838,2008
MCCC2,1324,1459,1250,1868,2204,1553
SNX16,309,289,281,309,408,304
GAL3ST2,5,8,8,3,0,2
POPDC2,11,13,11,10,9,8
SAMSN1,42,40,35,36,60,67
EPB41L4A,271,310,298,348,411,319
BLM,338,371,329,598,775,562
LRRC4,0,1,3,2,13,1
CENPK,592,660,581,977,1245,865
RTP4,10,12,6,22,28,20
CRLF2,50,49,42,31,45,27
MAGEF1,940,1036,837,1149,1397,948
MOAP1,1069,1272,1050,936,1142,805
TMBIM1,4309,5270,4108,3795,4900,3237
VSIR,316,387,304,516,597,446
SLC39A8,834,983,844,1002,1221,867
DUS1L,1503,1811,1519,1443,1640,1023
RRAGC,1201,1280,1145,1160,1413,1015
FN3K,66,80,79,84,96,76
TINAGL1,3374,4259,3363,4312,5334,3498
SMG1P1,317,289,380,407,649,372
LIN7B,84,96,79,74,101,56
XYLT2,504,548,479,831,1024,683
ZNF674,57,86,83,82,109,75
IFIH1,130,158,131,245,328,226
SLC7A11-AS1,134,116,129,159,204,144
CCNYL6,3,3,2,7,13,8
ABCG4,3,8,6,10,10,9
ACOT1,187,220,203,222,279,189
ACOT6,7,11,6,10,16,13
LINC02912,0,7,1,1,8,4
SELENOP,9,10,9,8,9,11
RBSN,1595,1804,1560,1751,2224,1508
PDF,498,658,557,532,707,405
TSC22D1-AS1,209,217,261,234,278,176
KIF9,135,162,141,145,217,140
C17orf75,595,654,530,670,899,605
SELENOW,483,548,391,575,710,442
NCAPG,2956,3280,2966,5609,6863,4840
KC6,32,34,27,20,36,26
LEF1-AS1,12,18,9,21,28,12
MAP2K4,1326,1529,1370,1256,1513,1158
SNHG6,666,741,655,649,773,595
SNORD87,20,15,21,27,26,29
TMEM91,86,91,95,53,70,52
ERAP2,404,437,468,604,722,516
NECAB1,5,6,5,4,6,4
CARD9,32,34,35,31,23,18
OSGEPL1,101,132,95,157,215,163
P3H1,2654,3192,2727,2674,3430,2243
SPDYE14,10,10,9,13,21,11
SET,11659,13273,10964,15152,18357,13750
FAM185BP,24,26,21,23,44,16
SETMAR,119,128,136,175,249,149
SEPTIN7P2,253,280,269,260,339,236
BLMH,1440,1704,1387,1676,2060,1423
GUSBP10,7,3,3,5,7,3
IRF2BPL,2765,3214,2695,3179,3694,2339
POPDC3,234,243,222,191,278,186
SFPQ,9647,10859,10149,12813,15867,11477
MMS19,2797,3115,2652,3376,3996,2788
DNAJC1,603,700,656,618,815,568
TFB2M,396,441,364,395,512,357
PJA1,476,575,505,574,787,506
SFRP1,79,122,91,96,144,77
STRA6,10,18,9,5,12,13
ROBO3,244,270,234,376,419,304
TOR3A,558,697,567,742,925,565
MLST8,916,1117,864,1062,1309,802
FRG1JP,158,184,156,150,156,115
HERPUD2,763,831,729,806,991,676
ATL2,1184,1249,1091,1629,2148,1536
ZNF876P,13,14,9,20,25,13
MIR4500HG,9,14,12,18,21,18
PDLIM2,115,116,130,256,294,204
LOC642361,22,32,30,26,32,21
GOLGA6L17P,16,14,13,19,20,12
MROH6,160,185,198,163,214,149
LOC642484,24,23,34,29,31,30
SFRP5,2,3,4,3,7,2
AGAP9,269,266,312,340,349,276
POU5F1P3,4,1,4,4,0,2
SRSF1,6372,7189,6321,9565,11595,8250
RAD21L1,7,1,6,10,7,8
LINC02939,6,4,4,3,18,1
SCX,130,149,141,200,253,123
SRSF2,5054,5733,5123,7131,8522,6247
TBC1D22A-AS1,3,2,8,8,17,1
DANT2,6,9,10,6,10,8
NPIPA3,80,85,93,88,94,72
NPIPA2,73,78,80,77,90,66
SRSF3,6128,7035,6076,9016,11497,8030
ZNF487,52,43,49,43,54,31
TENT4B,226,232,195,357,462,357
BMS1P2,256,210,316,303,480,311
ARHGEF28,2608,2841,2938,3190,3487,2715
RAB17,857,1023,879,226,278,227
CPSF4L,50,62,48,70,84,53
LOC642846,238,290,276,349,439,325
RHBDF1,1223,1359,1372,1254,1512,929
LINC00205,768,847,819,685,807,570
ZSCAN31,202,233,176,156,208,127
SRSF4,1923,2246,2054,3391,4177,3006
INSYN2A,6,4,7,9,18,3
FLVCR1-DT,24,21,17,26,31,19
TMEM232,10,16,19,17,16,12
CXCR5,940,1096,903,867,1032,667
SRSF5,4303,4643,4810,4219,5182,4076
SMIM5,17,14,12,18,45,15
BAZ2B-AS1,14,18,20,19,24,20
SRSF6,5979,6677,6112,6472,7712,5660
ZC3H11B,297,323,312,260,292,292
SMIM15,1427,1635,1401,1043,1392,1033
NOC3L,753,813,744,1099,1325,987
CCT6P3,62,67,57,81,103,54
FBRS,1746,1982,1790,2041,2597,1650
SRSF7,2384,2791,2411,3472,4510,3056
RNF25,535,657,499,631,796,559
LOC643201,353,324,302,415,515,376
TMEM72,4,3,2,2,4,1
NSD1,2451,2661,2587,3243,3728,2546
MAP1LC3B2,143,199,129,131,182,156
CCT6P1,97,105,107,130,180,128
COP1,730,865,767,961,1204,881
LMBR1,1130,1164,1015,1222,1539,1129
XPO4,1175,1258,1233,1533,1854,1387
SFSWAP,1323,1545,1341,1387,1656,1191
NFKBIZ,1624,1721,1578,1430,1710,1305
ARHGAP9,27,34,26,29,34,27
C15orf62,79,87,68,81,101,58
LOC643339,9,17,10,8,10,6
LINC00452,114,152,104,151,180,134
BTBD18,13,15,23,9,17,9
TMEM253,7,11,19,24,26,14
TARDBPP3,40,39,29,56,53,43
TRA2B,3377,3861,3225,4926,6194,4316
PURPL,21,12,24,21,22,10
HS1BP3,217,246,228,262,355,246
AZI2,854,972,817,1097,1423,1024
TSG1,4,0,2,4,3,2
LINC00865,8,7,8,14,11,12
DSEL-AS1,3,7,9,6,7,6
NXN,1128,1371,1105,1600,2016,1267
RNF224,72,65,74,71,72,43
ZNF862,504,571,536,488,584,424
LINC00842,58,63,58,68,59,46
SLC35G6,11,8,13,8,12,9
CCER2,58,84,49,64,82,51
CCDC168,5,6,3,13,8,14
GOLGA8N,24,23,23,24,39,21
GOLGA6L4,30,29,33,36,34,30
SCGB1B2P,65,42,60,37,36,42
LYPLAL1-DT,15,9,10,10,9,7
SIL1,883,1099,873,1021,1259,857
TRAF3IP2-AS1,95,91,79,84,129,90
IKZF4,293,308,273,235,277,192
IKZF5,683,818,742,699,897,688
LINC02453,7,11,5,5,9,6
USP46-DT,16,13,21,28,30,30
CNTNAP3P2,228,249,273,189,251,179
ZFP62,360,417,415,481,574,409
LINC01128,316,317,285,303,403,285
TMPPE,232,274,266,329,489,340
CTAGE9,0,3,1,2,7,2
MMP25,16,20,23,26,14,16
SPDYE10,59,73,66,55,81,49
CBLN3,23,21,22,21,30,18
GREM2,9,4,4,7,5,0
CRNDE,366,397,347,288,333,248
ZMAT3,712,711,711,893,1068,812
GMCL1,1205,1283,1180,1103,1322,1032
GMCL2,3,1,4,1,3,2
ZNF106,2679,2976,2865,3447,4072,2899
FLJ32255,62,61,78,55,86,63
PALS1,2600,2921,2611,3566,4454,3259
FNDC10,142,203,164,141,156,97
HHIP,215,248,258,193,191,160
BLVRA,741,808,752,952,1114,784
AKTIP,375,482,422,444,546,399
CBWD6,363,403,391,440,536,404
CDH24,416,481,432,522,636,395
RPS14P3,3,6,9,9,16,13
MSH2-OT1,11,5,8,8,14,4
SDHAF1,239,279,227,228,278,215
KLHL25,162,204,185,216,287,187
ARL14EPL,155,148,140,44,63,45
ARAP3,988,1151,989,1414,1725,1050
GZF1,605,703,632,674,854,625
RPL23AP53,132,175,166,198,245,182
LOC644135,7,11,8,4,8,6
WIPF3,4,14,5,3,20,12
BCRP3,22,34,29,28,36,25
TMEM267,197,234,215,266,341,263
MAPK8IP1P2,4,6,3,10,5,9
TMEM168,447,483,469,528,628,509
MTMR14,1141,1397,1136,1528,1733,1091
NR2F2-AS1,51,34,40,39,54,48
SUSD1,870,1016,875,866,1101,785
DCLRE1C,660,740,633,835,1064,685
LOC644215,20,20,11,21,17,18
ATG3,840,915,747,1173,1406,977
INF2,7074,8802,7421,6462,7791,4910
LINC00622,74,82,76,35,47,39
KANSL1-AS1,15,12,10,11,7,8
POLR1E,713,823,662,1269,1590,1081
SUDS3,1591,1719,1586,1920,2413,1796
TTC31,895,997,939,993,1277,875
CIAO3,482,603,484,496,635,366
LOC644285,13,12,28,22,37,18
ZDHHC6,1463,1675,1561,1785,2228,1618
FAM215B,18,20,21,27,33,14
SGCB,856,969,818,1262,1554,1131
PCNX4,4129,4515,4247,4699,5876,4236
ACTR6,679,725,546,690,886,656
MRPS25,1653,1838,1734,2110,2431,1855
NOM1,937,1036,881,1110,1398,881
ZCCHC18,134,130,140,139,148,127
SGCG,2,2,4,5,3,0
RPL13AP6,13,10,17,17,16,12
PPIAL4G,1,3,3,3,5,6
SMIM10L2B,3,5,2,2,3,0
SGK1,294,331,268,251,312,241
INTS4P2,32,40,35,47,59,39
LOC644634,23,24,28,29,35,20
LOC644656,39,49,58,45,48,35
RAD21-AS1,99,117,96,131,172,106
SCG5,11,10,15,12,10,12
LIMD1-AS1,383,421,390,453,552,366
LINC02604,93,75,87,92,101,71
SGSH,524,613,611,547,668,469
PAK6-AS1,25,25,17,16,12,9
FAM83G,1063,1296,1052,1215,1438,950
SLC12A2-DT,433,497,411,502,639,424
MEIG1,8,13,11,8,8,2
SGTA,2080,2508,2067,2216,2568,1647
GCC2-AS1,17,38,18,25,36,24
LINC00235,7,15,11,12,16,8
RASSF10,2,5,3,3,2,2
ACTG1P20,47,65,55,57,87,54
ALG1L2,5,6,4,8,10,12
BLVRB,576,708,535,675,794,470
SH3BGR,11,16,11,12,13,10
CPEB1,6,7,6,9,11,4
SH3BGRL,2420,2745,2288,2147,2768,2028
CCNI2,22,24,20,29,37,27
CBX3P2,1,9,4,5,5,16
LSP1P5,24,45,23,33,40,22
TEKT3,12,10,10,3,6,9
SH3BP2,2367,2592,2430,2556,3361,2126
LINC00693,4,3,4,2,2,5
EIF3J-DT,168,157,154,147,156,121
MNX1-AS1,10,10,10,7,14,9
LOC645261,3,7,15,5,5,3
ITSN1,1168,1303,1234,1265,1456,1069
LINC00461,17,20,16,20,37,20
FAM86C2P,41,50,41,35,43,27
GGT8P,5,5,6,10,7,4
TMEM191C,15,20,12,12,20,7
FUT8-AS1,132,158,136,98,148,78
ARRDC5,84,118,80,90,121,75
CEP170P1,136,142,141,206,240,191
SH3GL1,2666,3317,2649,2699,3283,2024
SEPTIN7P14,92,122,98,106,133,92
IGFL2-AS1,38,47,46,13,12,12
WFDC21P,6,6,8,3,7,3
FLJ42627,201,229,223,284,346,232
ASH1L-AS1,63,73,71,62,84,39
RPL13AP3,3,1,3,2,2,4
LINC00520,4,3,3,6,4,1
ZNF890P,6,9,9,10,7,9
ALDH8A1,33,22,29,5,19,9
SH3GL1P1,19,23,14,20,31,19
CCDC154,3,8,6,5,7,4
GPR135,236,251,319,197,233,160
SEBOX,3,7,4,4,10,1
SH3GL1P2,21,24,20,35,32,23
SVIL2P,2,5,2,3,7,4
RPS18P9,37,47,36,56,66,50
LOC645967,22,21,18,26,32,23
MOSPD3,318,407,347,322,386,266
GIGYF1,1805,2063,1994,1549,1823,1263
BNC1,2,1,2,3,8,0
VPS16,770,875,784,1023,1245,813
CBY3,10,14,8,10,10,11
ADORA2A-AS1,23,45,39,23,23,20
RAET1K,18,32,26,51,53,30
LINC03030,2,5,4,2,1,0
LOC646030,3,5,3,4,5,3
POM121L10P,52,57,42,46,57,34
SHB,2118,2569,2116,2838,3467,2146
TERF1P7,16,19,16,21,19,12
SHBG,6,8,8,8,10,5
LOC646214,13,18,13,20,25,29
LINC02223,2,5,5,6,3,7
PDCD6IPP2,76,100,91,87,99,96
LINC00607,3,5,0,0,5,2
SHC1,3717,4488,3711,5279,6613,4268
MFSD14A,1109,1289,1139,1743,2109,1531
ARIH2OS,64,71,63,74,80,63
C19orf67,10,3,7,4,17,2
LOC646471,161,201,192,141,181,121
SPANXD,24,26,21,18,35,17
CSRNP1,557,660,549,535,724,427
LOC646548,2,6,6,6,2,3
HHIP-AS1,58,68,57,60,72,49
C4orf51,143,153,134,143,188,145
BCL10-AS1,37,67,34,51,72,40
SPANXC,42,56,48,53,81,43
SBK2,5,8,5,4,6,1
LOC646652,10,14,9,15,39,5
SYNDIG1L,15,25,12,21,24,15
NIPBL-DT,334,321,290,299,403,281
LOC646762,551,555,548,745,852,598
FBXW4,590,705,557,606,680,453
SETSIP,27,32,20,47,43,39
ANAPC1,1431,1563,1572,1732,2170,1474
FAM227A,61,55,61,33,59,41
ZNF723,3,5,2,5,7,6
GORASP1,898,1044,878,936,1137,763
SHH,123,98,122,71,88,58
LOC646903,12,19,16,12,18,19
CTAGE1,3,5,3,3,7,3
MINDY4B,3,1,5,4,2,2
HRCT1,11,12,5,21,34,21
RALGPS2-AS1,37,46,46,51,74,47
LINC00598,2,4,0,4,5,4
TMPRSS3,18,16,13,21,26,26
SHMT1,802,937,788,1020,1286,785
C6orf132,263,342,235,462,594,392
PA2G4P4,58,74,59,107,111,108
GOLGA6L10,54,48,71,52,89,59
DHX9-AS1,77,106,89,117,166,116
COPS7B,1088,1379,1134,1200,1436,1013
STMP1,880,1043,792,765,1007,685
NUCKS1,20504,23106,19858,23573,29268,22150
EMBP1,82,92,83,100,119,90
SRGAP2B,1288,1451,1282,1804,2299,1642
SERPINE3,165,175,158,193,223,166
UNKL,503,610,558,644,798,499
RPS16P5,4,0,2,0,13,3
SHMT2,3656,4290,3444,5092,6797,4195
GMNC,4,3,4,7,16,7
TEX22,7,11,11,13,25,4
SHOX2,421,487,400,500,586,444
WDR13,1090,1311,1039,944,1185,753
SMAP2,727,926,761,1091,1313,894
METTL17,858,1018,890,1003,1315,871
ACBD3,1370,1543,1441,1675,2162,1601
MFSD1,1432,1577,1480,1298,1602,1193
PLPPR2,923,1111,866,877,1076,718
SMURF2,6033,6542,5944,7582,9281,6755
CCDC136,91,117,135,173,200,180
SMYD3,465,503,428,765,987,647
RUSF1,1669,1931,1744,1383,1849,1184
ATPAF1,835,946,826,966,1178,840
MTARC1,229,265,246,291,373,247
TNS3,4805,5478,4957,6419,7253,4850
FHIP2B,906,1141,1030,1021,1203,747
PARP12,956,1180,1027,1104,1369,941
GAREM1,376,409,348,263,297,195
ZNF574,630,733,548,774,930,572
CREB3L2,2418,2793,2497,2885,3379,2492
S100PBP,734,842,780,926,1208,842
IPPK,399,474,432,409,560,373
MEAF6,880,1012,884,1086,1317,1027
SIAH1,406,457,376,382,502,351
CCDC14,2357,2408,2945,2542,3106,2595
ILRUN,5172,6013,5148,5449,6274,4371
ENGASE,270,309,266,298,399,256
PCED1A,788,922,909,746,941,606
