,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
IL15,94,100,82,109,151,88
ZBTB41,966,918,993,1212,1464,1180
IL15RA,357,474,402,419,502,328
FKBP9P1,143,153,151,125,183,164
TMPRSS9,33,45,49,36,57,27
IL16,11,5,7,7,12,6
TNFRSF9,106,121,92,50,70,54
IL18,167,215,144,284,362,239
FOXK2,3092,3456,2884,2947,3440,2391
ILF2,4422,5384,4351,6358,7971,5346
ILF3,16793,20045,16784,21887,26359,17434
AQP4,12,12,11,3,15,9
ILK,2024,2436,1976,2685,3456,2150
IMPA1,550,560,547,728,956,643
IMPA2,245,306,220,475,619,359
IMPDH1,1655,2073,1655,1693,2007,1308
IMPDH2,5793,6675,5396,8377,10436,6907
IMPG1,11,4,4,6,9,5
INCENP,2988,3490,2904,4623,5662,3680
AQP5,52,78,55,75,89,68
IDO1,21,13,11,26,33,32
ING1,403,498,383,565,661,461
ING2,401,430,347,481,577,423
INHA,25,32,33,12,28,17
INHBA,96,83,90,99,114,97
INHBB,1193,1469,1175,1389,1777,1133
CXCL10,7,5,12,12,20,28
INPP1,651,699,628,704,878,579
AQP6,14,9,9,10,13,10
INPP4A,1221,1222,1290,1597,1954,1356
INPP5A,1017,1209,973,656,867,531
INPP5B,204,269,238,348,420,267
INPP5D,17,21,8,12,17,5
INPPL1,4770,5546,5061,4798,5935,3712
INSIG1,1489,1675,1432,2420,3315,2390
AQP7,5,8,7,2,2,2
INSL4,6,5,3,3,4,4
INSR,889,967,978,1168,1402,1041
EIF3E,6289,6827,5600,7183,9516,6576
IPP,198,242,214,372,473,305
IRAK1,8048,9836,7821,10658,12749,7914
ITGA6,25252,27421,24515,25403,30782,22341
IRAK2,1089,1336,1103,1081,1419,922
IREB2,1967,2095,1959,2220,2770,2040
IRF1,1518,1817,1406,2435,2794,1979
IRF2,623,769,660,717,906,716
IRF3,1068,1347,1126,1504,1778,1137
IRF5,9,11,13,17,27,14
IRF6,25,16,15,29,16,18
IRF7,370,387,326,449,556,326
IRS1,3221,3707,3335,4304,5095,3428
ISG20,64,72,63,109,172,95
AR,214,233,216,214,248,165
ITGA1,2606,2648,2812,1795,2377,1778
ITGA2,24897,26922,25768,20540,25480,19047
ITGA2B,3,5,4,5,3,4
ITGA3,27967,33603,28835,38914,47730,30539
ITGA4,5,3,3,6,6,3
ITGA5,6289,7576,6505,7220,9215,5867
ITGA7,10,13,18,23,19,17
ABCC6,26,32,12,29,53,21
ITGA9,6,9,11,6,7,8
ITGAD,2,3,2,6,5,1
ITGAE,426,453,373,498,611,440
ITGAV,3899,4265,4044,3915,4722,3728
ITGB1,30192,34103,29997,23688,30505,22068
ITGB2,578,670,555,828,1065,721
ARAF,1297,1655,1383,1507,1793,1100
ITGB3,246,238,222,247,342,243
ITGB4,3985,4754,4072,8222,9873,6304
EIF6,5746,7151,5414,8060,10162,6271
ITGB5,4117,5032,4165,4451,5571,3596
ITGB6,14,9,15,17,16,9
ITGB7,16,14,18,13,24,12
ITGB8,651,728,724,358,404,326
ITIH2,25,17,31,19,11,11
ACADVL,7209,8472,7531,8455,10490,6887
