Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
NHLH1,17,25,23,13,20,43,30
NHLH2,9,19,40,19,30,27,2
SNU13,3307,3378,2546,2452,2264,4986,3266
ATP1B1,2364,2782,3302,2563,3953,4452,2417
NHS,228,202,697,211,810,294,215
NINJ1,3025,2743,5182,1858,3947,5200,3103
NINJ2,13,31,35,23,26,56,9
NIT1,947,902,1629,653,1252,1678,997
NKG7,7,1,7,2,11,4,3
ATP1B2,13,10,16,4,7,17,7
NKTR,2761,2331,3359,1853,2374,3831,2302
NKX2-2,13,46,19,7,21,28,31
NKX3-1,96,73,144,70,118,112,78
NNAT,106,94,234,35,349,124,98
NMB,91,86,72,55,59,144,90
NMBR,2,1,11,1,2,1,0
ATP1B3,2207,1751,1859,1547,1328,2909,2148
NME1,1829,1950,1297,1378,1385,3438,1515
NME2,79,104,63,60,69,123,74
NME3,2513,2958,2645,975,2506,4784,2730
NME4,2528,2460,1841,1598,1749,4825,2550
NQO2,404,450,390,258,242,613,369
NMT1,3942,3737,4110,2453,3204,5678,3799
NODAL,47,36,48,27,36,66,49
NOP2,1662,1780,1450,1162,1379,2590,1635
NONO,10828,10213,9003,7598,7763,15069,10196
NOS1,0,0,34,0,8,0,0
NOS2,0,0,5,2,1,1,4
NOS3,1,0,46,0,119,7,7
CNOT2,3638,3696,3913,3268,3941,5452,3355
CNOT3,272,300,416,227,719,482,862
CNOT4,2224,1813,2465,2013,2430,2722,1764
NOTCH1,7016,7998,20736,6316,27641,19087,7194
NOTCH2,19127,21535,18007,14203,16400,31464,18062
NOTCH3,11555,9538,17843,5655,18522,19338,11214
CCN3,4,9,123,15,224,44,6
NOVA1,105,90,108,64,130,117,93
NOVA2,23,34,74,6,80,32,11
PNP,2752,2101,1695,1738,1400,3257,2485
NPAS1,128,69,147,31,74,178,93
NPAS2,66,50,127,37,182,148,61
NPAT,1945,1612,1544,1341,1252,2421,1836
NPC1,2844,3296,4015,2220,4052,4995,2785
NPHP1,23,14,48,16,23,21,38
NPM1,30607,38073,22168,25839,20840,49525,29036
ATP2A1,85,78,171,17,104,163,87
NPPA,2,6,22,3,7,12,13
ATP2A2,33921,44227,16718,24709,16998,47464,33252
NPPC,15,14,39,5,16,28,7
NPR1,0,0,2,0,11,4,2
NPR2,1172,1424,1199,765,1123,1731,1111
NPR3,448,477,387,272,281,484,437
NPTX1,33,59,65,60,34,90,63
NPY1R,3018,2732,9387,2639,6126,4105,2623
NPY5R,85,93,284,95,236,127,73
ATP2A3,7650,5727,15180,3912,11872,12630,7708
