Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
FAM83D,1923,1464,875,1038,289,2062,1800
ANP32E,4051,5441,1663,3166,1071,5742,3583
NIPA2,2790,2858,2428,2235,2132,3839,2505
TMEM163,34,21,77,22,77,61,42
ACSBG2,68,64,58,21,44,79,58
CAB39L,345,278,364,371,206,629,339
ITM2C,614,588,628,524,689,1402,631
TSPAN14,4051,4310,5227,2435,5037,5834,3746
CDT1,9703,7326,3370,3459,1283,10456,9591
KAZALD1,1034,947,846,485,709,1723,1078
UNC93B1,3332,4177,1768,1565,1577,5648,3304
DEFB126,1,1,9,2,10,6,0
DIAPH3,1029,704,422,655,152,1006,861
TRMT1L,882,1320,1111,944,1013,1769,890
TSC22D4,3296,3162,4582,1184,4336,5766,3098
TSSK3,70,62,133,46,80,84,119
MAP1LC3B,2434,2447,3754,2313,4062,3962,2161
AKAP1,8297,7337,5092,5358,4570,10203,7863
CCNL2,4882,4276,6648,2432,5401,6343,4749
VMP1,22440,15187,49217,19582,42092,34631,20331
C6orf62,8201,10565,8802,6427,9173,13661,7586
ISCA1,1579,1652,1601,1057,1238,1970,1384
REXO5,720,587,455,306,170,742,669
AMN,36,36,30,7,41,66,38
OR2B2,0,0,2,7,0,14,1
LINC00597,0,1,8,4,6,13,3
CAMK2D,710,704,622,373,359,710,580
SLC14A2,4,2,6,0,1,2,1
DOCK8,496,417,1204,447,791,797,463
PPP1R14C,13,17,16,18,27,44,11
MADCAM1,13,11,11,3,4,3,10
SF3A2,3101,2655,2277,1319,2348,4393,2902
ELL,1202,990,1562,577,1607,1827,1204
TRIM7,167,120,68,90,82,203,173
NUAK2,678,747,873,385,744,945,606
TIGD6,408,575,593,447,559,824,388
RNF170,321,326,339,247,271,440,231
ADAMTS12,2,4,7,0,3,7,2
ADAMTS10,3,4,6,1,8,8,9
SLCO5A1,16,10,23,4,7,18,28
CAMK2G,1819,1686,3234,1381,2369,2991,1763
NETO2,3524,2811,2605,2583,1989,4508,3448
VANGL1,4924,5115,5785,3766,5703,7568,4815
TRIM56,2817,2002,3974,1196,2764,3774,2730
SBF2,751,915,850,679,880,1358,661
RNF146,740,747,1352,662,1214,1407,735
SPRY4,133,118,245,78,188,263,147
ST6GALNAC5,33,10,72,39,26,46,44
TMEM14B,1146,1158,842,709,674,1633,1086
ZNF205-AS1,41,37,57,35,57,72,33
SFXN3,895,935,1144,436,1098,1084,867
ZNF611,1114,1201,1297,740,1141,1620,946
MED25,1302,1042,1667,425,1467,2024,1105
SHARPIN,911,673,1083,336,951,1349,989
ZNF239,775,988,641,612,476,1220,686
ARPC5L,1168,1215,1105,910,1042,1923,1017
ISG20L2,4195,3729,3412,2960,3176,6073,3984
RAB1B,14812,13322,12854,7941,10814,24906,14163
LAS1L,709,650,657,347,534,890,593
HYI,13,8,12,9,16,18,10
FAHD1,1963,2013,2237,1596,2282,3418,1882
SYMPK,3846,2948,4092,1754,2831,4564,3849
QTRT1,1077,1099,1195,452,902,1605,1105
SLIRP,529,644,551,553,441,1110,492
SLC7A5P1,108,161,106,87,79,206,130
SLC25A28,1400,1202,804,744,644,1546,1277
CAMLG,1806,1745,1758,1329,1390,2553,1846
CLPP,1248,1148,806,677,611,1821,1222
ABHD17A,1504,1352,1611,517,1574,2348,1458
CABLES2,2148,1803,1754,1396,1493,2957,2183
SEH1L,4717,5439,2752,4079,2778,7783,4570
DPF1,118,100,37,50,56,208,107
KIF18A,1146,1014,626,684,146,1137,1014
ZNF93,7,6,6,2,3,11,1
HDHD3,707,700,912,325,748,1200,676
MKKS,1072,1563,810,980,785,1905,1060
GDF5,0,1,11,2,1,2,0
NCOA3,55929,47039,71504,34105,48602,62816,51750
NRIP1,8174,9477,9593,6579,7298,10378,7427
CHAF1B,845,686,334,516,130,1079,817
GATD3,181,227,230,182,190,501,196
CANX,103342,101974,47665,56700,34882,106013,98948
LZTR1,1284,1090,1671,524,1466,1774,1335
CLTCL1,229,153,470,159,253,340,238
CAPG,59,80,59,40,93,118,73
ESS2,536,410,720,241,606,868,633
SYN3,75,53,181,63,120,110,79
GTPBP6,8,7,17,4,7,23,9
PUDP,590,611,703,473,558,978,664
AKAP17A,5,41,19,4,44,8,3
PNPLA4,156,197,249,207,201,296,159
CAPN1,5373,5751,9551,3694,9543,10633,5603
ZRSR2,170,149,269,93,176,218,156
USP11,1321,1363,2518,906,1984,1973,1266
USP9X,10486,11169,13845,8877,14339,16960,9591
CAPN2,383,574,345,317,892,834,356
RBM10,2295,2231,2035,1426,1708,3239,2324
KDM5C,3022,3262,4150,1937,3954,5250,3060
SMC1A,3585,2604,2036,2003,1570,4101,3271
CAPN3,23,15,24,10,23,27,12
CAPNS1,7409,7482,8501,5430,8333,11192,7099
NAA10,1592,1759,1389,1235,1329,2954,1518
F8A1,310,376,464,433,415,524,326
UBL4A,2849,2325,1484,1341,1275,3678,2908
TMEM187,581,507,361,286,322,887,574
CAPN6,1,0,14,2,5,0,2
LAGE3,1409,1355,1108,654,850,2426,1594
SLC10A3,2134,1514,1642,857,1441,2757,2123
TKTL1,1,1,6,3,0,0,0
CAPS,196,149,274,53,236,318,204
EPX,42,39,22,16,11,52,39
ARID1A,9102,8417,9439,6045,8796,12486,8503
CAPZA1,10870,10950,11640,10017,11648,16974,10200
H3-4,1,2,15,7,9,5,4
DYSF,11,0,34,5,14,7,12
COLQ,23,7,48,5,39,46,20
H4C9,20,16,114,15,97,111,35
TRRAP,21363,20372,23210,15702,19717,31076,20553
CAPZA2,2615,2658,2662,2448,2640,4427,2564
PICALM,6129,6765,7997,5902,8524,10073,5889
SNN,395,333,713,227,767,689,418
ACOX2,50,56,87,36,45,43,39
CAST,2036,2746,3240,2276,3713,3594,1916
ACOX3,573,369,842,332,566,741,451
AXIN1,5998,5614,5149,2663,4176,7881,5793
AXIN2,93,32,74,55,36,117,77
BAP1,2162,2032,2148,1168,1761,3102,2014
BRAP,1195,1215,1749,1084,1645,1760,1070
CDC7,1708,1272,573,1077,281,1753,1471
CDC45,2283,1560,687,1254,154,2544,2210
CAPZB,6571,5481,5241,4763,4990,11018,6127
EOMES,377,314,447,282,281,474,384
FZD1,1196,1014,1061,583,911,1742,1146
FZD4,1483,1747,964,1090,986,2492,1374
FZD6,4048,2594,3820,2244,2295,3844,4004
FZD7,164,167,283,84,290,322,180
FZD8,187,194,229,135,203,394,240
FZD9,41,42,30,11,13,81,45
H2AC13,1902,1241,1006,722,635,3358,1645
CARS1,205,91,106,50,59,108,169
H2AC15,778,741,308,364,179,856,833
H2AC14,4912,4044,879,2783,529,5152,4245
H2AC16,629,465,119,236,38,865,576
H2AC6,1879,1812,1846,1404,1354,3316,1989
H2AC4,1115,709,213,361,70,1366,1061
H2AC17,4482,3599,1110,2657,670,5216,4057
H2AC18,78,76,50,27,44,104,91
H2AC20,8634,7926,3496,4028,2871,12395,8035
H2BC8,2758,1968,1442,2323,937,3460,2628
PITPNM3,175,167,161,49,85,189,170
CASP1,3,5,6,5,0,8,7
H2BC13,3361,2341,495,1546,283,3597,3200
ELOVL3,10,4,7,3,1,3,6
H2BC15,2169,1829,845,930,389,2565,2093
H2BC14,502,345,108,336,51,636,449
H2BC7,3628,2228,811,1784,451,3849,3113
TCF7L1,362,283,219,194,228,554,294
H2BC6,2998,1990,627,1425,365,2962,2667
ADPGK,1373,1640,1368,1058,1352,2369,1404
SH3BGRL3,400,474,812,234,948,989,429
SF3B5,1456,1725,1324,1254,1251,2671,1446
INO80B,50,21,27,3,26,47,25
GSG1,67,40,98,43,39,130,62
PUS7L,1782,2557,1058,1742,1071,2927,1578
PMFBP1,6,0,2,0,2,3,5
H2BC9,3021,2221,744,1727,342,3190,2730
DRC3,114,76,137,38,140,144,98
ABHD11,2764,2489,6056,1759,4924,5101,2596
RAB33B,1244,1255,1229,981,1105,1885,1198
H2BC10,2996,2225,520,1736,254,3195,2744
EMC6,32,53,33,29,44,99,25
CDCA3,940,635,333,393,80,931,843
MXD3,1298,827,767,352,270,1550,1224
APH1B,226,220,284,141,216,292,167
GLT8D2,26,31,35,18,44,40,34
H2BC4,7442,5326,2145,4093,1478,7946,6854
KATNAL2,115,87,139,76,87,167,112
DOHH,314,318,297,117,292,663,353
ARHGAP24,22,13,72,28,30,46,21
DDX59,1294,1301,1271,1063,1023,1820,1250
H2BC17,5763,4421,1096,3483,443,6440,6226
PUS3,238,230,287,267,220,467,223
EPPK1,8005,8650,17661,4376,18651,15589,7821
SCRT1,10,2,26,0,14,12,3
H2BC21,8600,7803,14550,6650,12384,13646,8406
CASP2,4472,3815,2875,2971,2024,5737,4462
H3C1,731,769,302,334,142,834,752
H3C4,6250,4709,1548,3094,887,6930,5811
H3C3,8,5,2,0,4,2,3
H3C6,3392,3041,1294,1448,790,4112,3365
ODAD4,52,68,73,20,47,70,37
H3C11,1585,1766,391,768,164,2204,1689
NUF2,770,628,273,474,52,731,671
FAM110A,664,584,1102,348,873,1192,741
AIF1L,8120,6210,4024,4395,3373,10407,7741
DNAL1,802,960,763,738,784,1323,701
RTBDN,12,14,9,2,8,18,16
COG3,2165,2598,2964,1957,2816,3383,2008
UCK1,923,673,733,462,664,1315,863
H3C8,9660,6826,1473,4516,588,12773,8903
H3C12,2488,1553,445,1371,190,2940,2203
H3C10,5257,4468,1805,2204,1254,6574,4974
H3C2,9316,7161,1301,6215,426,14025,8419
H4C1,2365,1669,617,994,231,2567,2315
TMUB1,1145,1053,918,445,914,2067,1285
THAP2,187,104,137,130,77,202,136
AKR1E2,220,186,289,126,248,291,181
RASSF5,81,114,95,79,60,141,45
NUDT12,1279,1394,1208,1206,1062,2009,1161
SOX7,17,14,14,14,24,36,28
BCL2L12,902,827,503,258,299,1369,887
LRRC2-AS1,8,2,0,0,0,4,0
CASP3,295,512,372,300,379,547,269
H4C4,4466,2836,1082,2451,422,5712,4723
TMEM47,14,6,18,5,11,27,10
CCM2,623,554,604,445,542,1032,507
GUCD1,6285,5016,6255,3147,4457,8943,5768
AMMECR1L,2488,2491,3044,2004,3054,4194,2537
C18orf21,457,376,444,412,480,713,417
H4C6,3532,2625,1231,1612,707,4193,3675
H4C12,147,108,158,148,152,289,120
H4C11,157,112,201,94,171,371,151
C19orf12,571,617,570,434,755,1147,572
ZMIZ2,5064,4031,6554,2301,5876,7753,4549
C11orf68,1472,1330,1592,565,1398,2302,1550
H4C3,3944,2683,623,2606,300,5064,3697
RAMAC,270,201,277,105,214,278,204
FAM107B,2660,2010,4237,1638,2888,3060,2682
SELENOO,1565,1309,1669,684,1447,2444,1586
CCDC3,6,22,13,15,23,17,6
FAM167A,218,221,134,114,87,253,221
H4C8,8044,5818,2398,5315,1467,10696,7684
SLC35G5,6,3,4,0,1,31,4
FAM167A-AS1,1,0,0,0,4,6,1
DYNLRB2,33,24,72,28,56,50,36
DYNLRB1,1380,1359,1804,1073,1842,2328,1341
H4C2,3667,2353,852,1960,579,4740,3429
TLN2,1904,1662,1502,1119,1342,2789,1854
PARP9,633,450,671,386,424,688,659
SESN2,665,577,2969,684,2811,2196,696
H4C5,2042,1507,1458,1259,854,2955,1857
CRISPLD1,80,51,65,57,41,110,45
CD99L2,655,746,943,482,764,1144,720
HSDL1,2966,2536,3135,2177,2649,4292,2676
RPS6KL1,367,388,1158,149,924,573,328
RHNO1,1769,1594,1069,1098,693,1905,1667
TRAPPC9,2328,2171,3091,1580,2866,3860,2296
SLC4A9,12,7,84,12,30,25,16
CALN1,1,0,10,0,0,0,1
SH3BGRL2,327,297,327,243,256,473,319
CASP4,50,59,98,59,61,70,41
H4C14,17,21,5,6,4,28,25
JAM3,100,74,61,61,40,155,88
FERMT3,78,52,94,20,39,97,62
TRPT1,517,615,971,361,846,1224,567
NRIP2,144,151,212,65,82,235,177
ESPN,1609,1526,5403,845,4510,2766,1589
CRISPLD2,482,362,771,367,1199,695,380
YPEL3,1025,616,3789,501,2501,1622,1027
HYAL3,108,97,59,34,44,121,73
TLCD3B,94,45,23,25,16,101,110
INHBE,7,50,7,13,0,13,13
RIOK1,729,734,545,563,489,1193,689
SLC25A18,28,16,24,18,26,31,22
ATG10,550,522,392,350,300,708,462
ITCH,3910,4112,4238,3268,4020,5860,3518
MARVELD1,1918,2108,2254,1033,2162,3463,1905
GRWD1,2994,2797,2297,1644,1974,4780,3193
ZNF484,1048,1255,1162,1040,1030,1856,865
L3MBTL2,1052,813,951,613,875,1550,910
LONP2,6152,5712,6300,4066,4685,7660,5701
TAS1R3,146,108,231,53,234,210,148
RBP5,8,14,16,1,6,4,7
RBM4B,1147,857,1031,757,767,1302,1037
FRMD8,1386,1135,2587,805,2075,2647,1607
ARMC10,1233,1539,1271,1001,906,1851,1336
MAD1L1,738,719,994,419,797,1338,707
NME5,3,5,8,0,0,2,0
SYT15,135,149,222,63,134,217,125
ESYT3,36,16,59,24,20,52,19
SYT16,0,0,14,1,11,1,0
SETDB2,694,624,531,407,372,796,626
ROPN1L,5,5,4,0,2,10,0
ANGPTL6,12,7,12,5,4,4,5
KLF16,2466,2239,1690,797,1681,4574,2699
FSD1L,379,322,289,285,239,501,334
TMTC1,2,4,12,2,8,7,4
ATAD3B,766,754,910,273,695,1196,808
TAF3,1439,1378,1635,1315,1458,2293,1332
RSPH3,258,211,388,182,349,385,213
TMEM120A,1042,870,1403,591,1308,1701,975
RAB34,1014,1182,652,594,549,1658,944
HMCN1,2508,865,7037,3623,4791,6532,2500
GPR61,31,14,102,13,43,31,18
TBC1D10A,816,605,1149,377,1200,1340,843
BCO2,26,38,25,10,19,26,15
MRO,2,0,5,2,10,0,0
TM2D2,468,531,568,400,570,761,474
CDCA7,1173,1011,201,668,96,1389,1190
MIXL1,6,4,7,3,8,3,4
TSPAN10,14,13,10,7,7,34,11
SLC25A2,23,12,61,18,27,74,30
PRSS27,96,100,133,41,85,177,96
FGFBP2,69,112,56,51,23,100,71
WDR87,11,12,17,2,8,16,8
SPATA9,34,17,42,40,25,16,11
SNX25,429,370,908,374,719,680,356
KCTD10,2185,2287,2903,1758,3455,3623,2016
CASP6,680,636,754,467,534,977,588
HASPIN,1332,917,528,652,171,1485,1321
STARD3NL,752,828,586,491,367,969,800
STK40,1046,1445,2071,765,2423,2282,1083
SPRTN,613,603,783,532,709,886,567
HDAC10,1450,1257,2021,523,1500,2119,1410
RASSF4,1,9,41,3,20,9,4
LRMDA,8,6,13,4,16,14,16
EIF2A,7236,9145,5749,6517,5572,10571,7008
PIP5K1A,8685,7665,8914,5869,7040,12478,8246
TATDN1,1851,2335,1734,1853,1677,3369,1868
TM2D1,319,319,368,270,329,554,315
TSSK1B,29,23,55,37,36,85,27
IMMP2L,433,498,463,379,354,865,432
PIP5K1B,183,212,288,154,192,262,175
FCAMR,3,0,6,0,3,1,0
NACA4P,7,6,4,4,4,6,5
RACGAP1P1,9,12,1,8,0,17,4
SLC4A11,346,246,549,263,505,695,406
PIP4K2B,13,20,49,6,17,17,18
PLA2G6,475,398,812,207,539,624,477
TSSK6,76,100,110,37,66,132,56
SPNS1,2717,3037,2911,1400,2545,4904,2783
FAM234A,5169,5660,5460,2870,4681,8030,5106
NCALD,11,12,47,2,36,15,5
FAM172A,1885,1380,1646,1050,1067,2016,1647
BRIP1,32606,22165,13491,20349,5842,34017,28717
CTTNBP2,0,6,20,2,23,4,3
KREMEN1,561,525,518,314,528,920,555
CASP7,2341,1662,1617,1520,1276,3181,1983
TMPRSS13,1153,1396,1097,815,1385,1973,1002
B3GNT5,60,48,101,24,47,68,53
SLC25A11,1376,1278,1214,771,995,2368,1417
OBSCN,2574,2008,3362,1004,2448,3809,2564
EMILIN2,5,16,4,2,10,18,11
SPARCL1,14,17,24,17,11,34,20
SPOP,1966,1852,1462,1682,1179,3136,1822
PCDHB19P,54,58,109,46,50,65,27
KATNAL1,802,683,460,568,232,979,814
MND1,291,229,115,189,27,293,249
WDR54,861,818,777,383,473,1151,913
ADGRV1,3037,2615,1706,2039,935,4364,2594
SRPX,13,10,19,10,26,14,5
RBM48,1255,1209,1470,1003,1075,1877,1227
MAGT1,3746,5466,1889,2485,1684,4900,3640
DTNBP1,381,379,436,270,337,640,335
HDHD2,750,851,849,671,658,1312,789
TMEM222,1304,1085,919,661,817,1800,1189
FHIP1B,888,835,1085,382,933,1232,803
SLC10A7,364,486,165,268,116,451,368
PLEKHN1,432,445,838,198,1125,900,433
TAGLN2,9566,8049,8756,5181,9059,13968,8912
FAM186B,153,158,167,92,104,263,145
ARMC2,73,94,310,87,220,224,119
MYCBPAP,1,3,7,0,2,2,1
QRICH2,279,139,334,81,237,378,199
TKTL2,4,0,12,13,8,8,3
C3orf20,36,28,66,20,45,59,18
KBTBD7,872,932,715,720,525,1482,937
ANKRD27,3272,3100,3187,2518,3030,5171,3278
ULK1,2326,2589,11985,1080,9941,3936,2345
ENKD1,234,191,305,92,179,390,256
NSRP1,270,258,301,202,223,464,237
ZRANB3,745,729,451,541,325,851,634
RAB6C,219,213,112,204,141,325,185
FBXO30,987,1189,1149,1074,1140,1738,957
UXT,818,711,552,568,540,1105,697
CASP8,478,390,686,362,481,716,508
ARL6,112,93,89,68,74,151,91
USP44,12,21,22,20,8,26,15
SLC41A2,522,618,891,493,995,923,576
PCBD2,1116,984,780,657,629,1613,1002
PRAM1,6,15,12,2,8,2,12
ZIC4,476,287,825,238,575,652,449
PCGF6,459,521,278,350,208,647,432
EEA1,3171,3081,2770,2714,2545,3904,2530
BCAR3,663,432,1382,379,955,902,588
ZNF394,1038,1057,1671,841,1352,1828,970
LRRIQ1,3,9,20,1,9,3,5
ATRIP,647,554,672,419,589,955,598
WDR75,2829,2641,2325,2270,1814,3583,2619
ACAD11,35,24,79,17,40,42,36
CEP78,1798,1388,873,995,501,2047,1608
USP42,2257,2017,2601,1817,2216,3221,2291
ZNRF3,2663,2192,1575,1453,1380,3791,2545
TOMM40L,517,540,574,339,464,860,465
UTP15,2171,2035,2085,1584,1895,2952,2044
SLC7A6OS,138,129,214,76,181,306,149
FAM161A,278,243,77,166,47,264,269
ABRAXAS1,718,973,894,886,825,1405,675
SYDE2,2176,2001,2612,1708,2512,3215,1893
ZNF644,3031,2820,3595,2751,3164,4522,2701
KAT8,1262,1161,1003,629,875,1572,1262
PPP1R1B,1,8,10,2,10,1,8
RNASEH2C,1781,1472,1431,826,1150,2799,1851
RPF2,1725,1629,1380,1437,1316,2513,1634
ARID5B,1048,1019,1854,891,1653,1411,867
ANXA9,1071,1095,2341,753,1757,1728,1112
KIAA1109,5447,5899,7993,4824,6758,8968,4979
GTF2IRD2,69,57,187,49,262,99,81
ASCC2,2103,2079,2350,1541,2109,3117,2107
NLRC5,11,6,30,6,11,20,19
C19orf44,226,148,285,134,173,296,183
ANTXR1,2428,2254,2709,2105,2198,3399,2282
STX7,1451,1628,1816,1325,1854,2573,1396
LOXL4,78,43,98,23,90,72,35
POLR1B,4530,3704,2853,3375,2593,6080,4103
ELMOD3,369,286,504,242,355,552,354
SLA2,10,7,7,16,7,26,6
MYH16,65,77,176,54,84,152,72
SLC49A3,240,324,722,93,583,472,298
CMAHP,45,21,427,42,207,86,35
CHD6,12578,12677,17005,9751,12820,20092,11948
MINDY4,10,6,6,5,1,4,2
ZCCHC7,699,622,732,585,609,1070,637
TMEM164,3474,3316,4073,2052,3455,4938,3352
FAR1,5382,4606,3811,4482,3124,7692,4898
SLITRK6,148,224,98,123,63,245,171
BFSP2,17,13,21,11,5,34,39
METTL25,511,457,613,510,548,1059,526
CIAO2A,2280,1572,1380,1174,779,2382,2078
SETD3,5023,5016,4694,4472,4567,8292,4808
USP48,1344,1278,1678,1000,1283,2068,1240
POMK,695,732,632,556,534,1035,635
CASP9,32,50,149,34,115,121,46
SNHG3,2973,2622,3318,1477,2556,3381,2868
TXNDC2,2,0,1,4,4,4,2
MEX3B,456,332,688,294,576,879,471
ZNF541,165,107,135,73,102,188,120
TMEM117,132,138,137,148,130,214,96
ZMYND12,13,8,14,15,22,22,13
WDR24,1142,984,2022,591,1472,2092,1229
RGPD5,110,18,46,23,21,57,19
SPATC1L,2,3,104,72,75,5,2
TMEM191A,538,343,259,127,261,713,455
IQCG,321,203,285,218,205,372,252
NBPF3,794,770,762,532,584,1284,815
ZMYND15,60,19,48,14,47,46,40
C2orf16,113,194,219,136,233,310,115
LRRC8C,477,548,284,341,176,634,414
TRAF7,5609,5365,6108,3257,5374,10234,5293
MAF1,3502,3289,2834,1529,1968,4695,3716
TMEM126A,317,366,270,300,260,491,271
RHBDD1,1087,1296,944,718,799,1533,1032
ATP13A4,7,5,36,6,19,8,0
BBOX1,0,2,11,1,4,5,0
ZCCHC9,625,616,663,565,508,1083,605
ZDHHC18,1475,1389,811,614,796,2091,1523
MRI1,1531,1233,1784,686,1333,2157,1419
MED10,479,615,552,413,495,884,403
RTL6,5574,4941,4593,2892,4084,8248,5511
FYTTD1,6195,5492,6349,5193,5696,8330,5838
PSD2,22,25,26,8,23,24,12
LTBP4,3011,3159,2047,968,1680,4005,3077
SLF1,1617,1088,958,1069,630,2092,1454
GARNL3,344,246,292,249,246,503,299
CAMKK1,213,155,135,90,190,263,202
SLC37A3,594,1075,1050,684,1058,1302,616
FLYWCH1,1641,1578,2226,657,1691,2493,1611
SYT3,114,117,98,61,74,267,120
DCUN1D5,1304,1514,1332,947,1185,1973,1231
TCHP,922,911,592,680,468,1207,840
FBXW9,1003,1125,1101,502,929,1867,999
PSMG3,1000,1035,615,534,611,1710,941
HSDL2,1796,2214,1597,1924,1568,2885,1730
HAGHL,2901,2914,3190,1156,2930,5543,3006
POLR3GL,253,361,301,209,319,524,251
ALKBH7,634,564,402,302,404,1367,746
C9orf64,829,704,681,439,480,940,728
RPAIN,620,534,691,325,414,846,502
CHCHD5,642,758,727,428,655,1210,654
ZNF282,2430,2220,2348,1501,1931,3824,2433
CARD19,1130,1163,1430,501,1162,1842,1040
POLDIP3,3567,3006,3115,2230,2682,5395,3611
YIPF4,1131,1045,1069,786,1046,1426,1080
NOA1,3296,3807,3237,2563,3453,5946,3215
COQ5,515,616,512,416,419,797,505
SLC25A33,676,697,362,525,327,1068,583
NICN1,275,240,467,176,365,403,259
DNAJC30,1144,1220,1757,758,1474,2276,1227
MFSD14C,254,232,320,161,248,461,277
PRADC1,446,349,248,337,171,621,416
STK24,4141,4249,3955,3661,4157,6663,3789
BTBD10,1225,1381,1612,1038,1638,2063,1066
C2orf88,102,89,176,104,117,218,68
RNF135,591,608,509,327,454,912,542
TMEM79,404,352,834,183,812,659,365
NTPCR,435,498,538,449,603,842,362
EIF1AD,2357,2045,2369,1727,2100,3087,2296
TMEM175,923,748,1256,442,955,1289,860
ZDHHC16,2055,1818,1789,1458,1445,3106,2134
EFCAB2,194,202,127,121,107,249,205
ING5,1187,855,872,627,664,1648,1156
WDR83,288,252,363,162,279,484,325
PRXL2A,2922,2518,3156,2180,2398,4436,2420
UTP23,1281,1187,1042,1011,918,1790,1150
PHF6,4282,4232,2969,3307,2347,5773,4084
GINS4,702,504,473,330,178,830,648
LLPH,398,443,431,325,457,736,405
MIEN1,635,632,789,474,673,1355,620
CASP10,0,0,16,0,8,0,2
UQCC2,683,644,534,498,432,945,591
DDI2,589,596,792,619,760,1035,652
CHCHD6,244,272,151,153,114,431,192
NUDT22,604,723,958,246,844,1226,628
PYM1,974,1034,1020,547,1055,1592,946
PDCD2L,265,331,261,218,248,604,296
ZNF397,665,675,1056,633,822,1288,743
NUDT16L1,1240,1213,1196,631,1075,2153,1217
NR0B2,0,3,3,0,7,10,1
C7orf50,2528,2525,2272,821,2063,3931,2530
MRPL45,6,2,2,3,4,4,0
BRMS1L,837,872,700,811,688,1369,630
VPS25,1514,1394,1887,957,1565,2200,1428
TMEM107,374,272,264,172,104,342,366
MON1A,309,275,171,124,200,440,321
NAA38,675,646,514,324,422,1150,653
CCDC115,914,877,873,555,532,1217,921
CCDC77,113,115,154,69,69,149,85
CMSS1,440,495,215,303,164,521,388
ACBD6,1344,1422,1119,971,844,2024,1259
THOC3,889,875,868,571,645,1385,1009
SARNP,384,447,422,382,362,681,405
METTL26,1360,1337,978,472,863,1950,1429
ZBED3,290,415,169,167,93,380,300
LZIC,664,735,536,578,502,1002,645
HVCN1,15,10,21,2,14,16,14
ZNF414,330,314,271,132,193,515,327
MCRIP2,1280,1274,906,462,830,2387,1325
PCGF5,2623,2671,1764,2220,1476,3946,2564
COA8,758,777,802,469,732,1191,707
AKT1S1,3236,3549,3232,1772,2804,5378,3270
TMEM101,782,732,917,411,790,1537,758
ELOF1,971,916,1195,707,1068,1910,920
RECK,4,6,14,0,5,7,6
GFM2,1956,1613,2318,1227,1552,2209,1713
COG8,1178,1290,1293,803,1025,1779,1187
HPS3,3122,2291,4717,2441,3915,3902,2858
SOAT2,66,57,53,18,29,84,57
CAVIN2,0,0,4,0,79,0,0
ARFGAP2,3643,3301,4658,1898,3780,5621,3348
NIFK,1105,924,922,983,910,1630,1053
RASAL1,83,59,144,40,155,150,83
HOOK3,1330,1211,1563,1249,1452,2135,1155
RAD54L,1630,864,484,678,136,1598,1455
NSMAF,1421,1494,989,1166,709,1760,1206
CASQ1,4,8,7,3,10,4,1
NCK2,868,803,1209,604,1242,1477,850
CYSTM1,412,329,635,319,652,688,427
C15orf48,0,2,12,0,15,3,5
GNPAT,880,810,731,788,661,1327,704
PROK1,1,1,4,2,1,4,0
ADGRA1,16,13,20,1,21,21,6
ZNF528,20,20,35,15,29,18,24
MSANTD4,521,459,564,441,418,693,529
HHIPL1,11,10,29,0,7,14,12
DYRK3,208,263,211,134,162,311,208
RAB11FIP4,1620,1444,2453,922,2663,2540,1408
MAML2,95,42,228,94,230,199,75
FRMPD3,63,41,121,48,74,93,67
DOT1L,4246,3039,3960,1932,3461,6989,4323
LZTS2,1881,1615,2286,732,2001,3120,2106
BRSK1,182,204,342,96,296,256,188
SYVN1,3081,4803,3200,1743,2941,5071,2913
ABLIM2,107,99,262,80,199,176,113
ZNF333,228,190,507,114,348,300,159
DYRK2,2069,2161,2589,1942,3010,3896,2066
ZNF512,734,665,794,601,626,1206,690
MAP3K21,1017,905,778,724,620,1429,988
EFCAB7,135,129,98,80,59,110,106
L3MBTL3,92,100,81,93,62,136,102
LCOR,4016,2788,4945,2603,3730,4586,3684
DUSP11,620,680,837,510,789,958,654
ZMAT1,469,327,901,292,567,582,401
NEURL4,1240,1152,1566,706,1429,1886,1311
SLX4,1323,1328,820,903,731,2261,1320
MEGF11,48,72,106,28,108,116,43
MEGF10,20,12,48,25,41,65,29
FBN3,4,3,1,5,1,2,1
DOC2A,944,646,791,324,419,1059,884
DHX16,0,2,1,0,40,2,0
FAM120B,2,4,5,1,8,5,0
CASQ2,3,3,12,2,10,2,0
CUL4B,4463,5104,4202,4025,3720,6417,4341
SPIRE2,1578,950,1535,686,1478,2145,1415
JPH4,1,1,9,1,1,1,3
ZNF527,147,134,106,82,62,172,131
NKX6-2,8,2,0,0,5,6,1
CUL4A,2792,2959,2346,2338,2429,4330,2872
PLPP5,1089,1796,835,863,781,1696,1076
GHDC,47,37,32,16,16,72,34
MCM8,1263,994,638,898,317,1452,1191
DCTN5,5105,5461,6358,4722,6441,9425,5167
ACTRT3,24,66,70,48,65,92,43
CNFN,37,27,62,25,47,61,38
ACRBP,14,14,8,7,6,10,17
CUL3,2460,2816,2861,2287,2885,4038,2372
GON7,4,3,0,4,1,4,3
JAGN1,1997,2235,1917,1440,1884,3261,2064
ZC3H8,406,406,281,279,174,492,311
HOPX,5,6,13,3,13,19,9
CDIN1,182,163,257,153,195,327,194
CUL2,1954,2149,2112,1825,2032,2881,1919
SRRM4,6,4,26,1,18,1,5
ACSS1,1815,1333,1368,978,743,2637,1692
