"","genename","ensembleID","entrezgene_id"
"PTBP1","PTBP1","ENSG00000011304",5725
"DPF1","DPF1","ENSG00000011332",8193
"SYT7","SYT7","ENSG00000011347",9066
"LARS2","LARS2","ENSG00000011376",23395
"PIK3C2A","PIK3C2A","ENSG00000011405",5286
"PLAUR","PLAUR","ENSG00000011422",5329
"ANLN","ANLN","ENSG00000011426",54443
"WIZ","WIZ","ENSG00000011451",58525
"RABGAP1","RABGAP1","ENSG00000011454",23637
"DCN","DCN","ENSG00000011465",1634
"QPCTL","QPCTL","ENSG00000011478",54814
"PPP5C","PPP5C","ENSG00000011485",5536
"CEP68","CEP68","ENSG00000011523",23177
"MAP4K3","MAP4K3","ENSG00000011566",8491
"ZBTB32","ZBTB32","ENSG00000011590",27033
"TYROBP","TYROBP","ENSG00000011600",7305
"TMEM159","TMEM159","ENSG00000011638",57146
"GABRA3","GABRA3","ENSG00000011677",2556
"BRCA1","BRCA1","ENSG00000012048",672
"ERCC1","ERCC1","ENSG00000012061",2067
"CD22","CD22","ENSG00000012124",933
"SEMA3B","SEMA3B","ENSG00000012171",7869
"MBTPS2","MBTPS2","ENSG00000012174",51360
"PRICKLE3","PRICKLE3","ENSG00000012211",4007
"LTF","LTF","ENSG00000012223",4057
"EXTL3","EXTL3","ENSG00000012232",2137
"NR1H4","NR1H4","ENSG00000012504",9971
"ELOVL5","ELOVL5","ENSG00000012660",60481
"ALOX5","ALOX5","ENSG00000012779",240
"KDM5D","KDM5D","ENSG00000012817",8284
"CALCOCO1","CALCOCO1","ENSG00000012822",57658
"UBR7","UBR7","ENSG00000012963",55148
"MAP4K5","MAP4K5","ENSG00000012983",11183
"EHD3","EHD3","ENSG00000013016",30845
"PSMC4","PSMC4","ENSG00000013275",5704
"MAN2B2","MAN2B2","ENSG00000013288",23324
"SLC7A14","SLC7A14","ENSG00000013293",57709
"CLDN11","CLDN11","ENSG00000013297",5010
"SLC25A39","SLC25A39","ENSG00000013306",51629
"MVP","MVP","ENSG00000013364",9961
"NUB1","NUB1","ENSG00000013374",51667
"PGM3","PGM3","ENSG00000013375",5238
"RWDD2A","RWDD2A","ENSG00000013392",112611
"CLK1","CLK1","ENSG00000013441",1195
"POLR3B","POLR3B","ENSG00000013503",55703
"ANGEL1","ANGEL1","ENSG00000013523",23357
"RNF14","RNF14","ENSG00000013561",9604
"DNASE1L1","DNASE1L1","ENSG00000013563",1774
"DDX11","DDX11","ENSG00000013573",1663
"HEBP1","HEBP1","ENSG00000013583",50865
"GPRC5A","GPRC5A","ENSG00000013588",9052
"MAMLD1","MAMLD1","ENSG00000013619",10046
"CD6","CD6","ENSG00000013725",923
"TACC3","TACC3","ENSG00000013810",10460
"UFL1","UFL1","ENSG00000014123",23376
"POLA2","POLA2","ENSG00000014138",23649
"ZC3H3","ZC3H3","ENSG00000014164",23144
"CAPN1","CAPN1","ENSG00000014216",823
"ACPP","ACPP","ENSG00000014257",55
"MDH1","MDH1","ENSG00000014641",4190
"SLC30A9","SLC30A9","ENSG00000014824",10463
"MTMR11","MTMR11","ENSG00000014914",10903
"COX15","COX15","ENSG00000014919",1355
"CCDC88C","CCDC88C","ENSG00000015133",440193
"YAF2","YAF2","ENSG00000015153",10138
"ZMYND11","ZMYND11","ENSG00000015171",10771
"WAS","WAS","ENSG00000015285",7454
"DPEP1","DPEP1","ENSG00000015413",1800
"BID","BID","ENSG00000015475",637
"MATR3","MATR3","ENSG00000015479",9782
"NPC1L1","NPC1L1","ENSG00000015520",29881
"XYLT2","XYLT2","ENSG00000015532",64132
"RGPD5","RGPD5","ENSG00000015568",84220
