Genes,control_1,control_2,Nutlin_1,Nutlin_2
ELOA,2137,1873,1613,1026
TBX3,265,214,311,165
HNF1A,16,13,10,8
TCF3,4483,4109,2700,1957
MIR555,8,10,11,8
MIR564,2,3,5,3
MIR570,10,17,11,14
MIR572,5,8,2,5
MIR590,3,3,8,7
MIR611,122,146,174,81
MIR614,24,16,59,38
TCF7,23,30,47,31
MIR621,41,27,29,11
MIR622,6,5,8,12
MIR631,4,3,5,4
MIR632,46,57,55,25
MIR635,5,7,31,14
MIR636,59,44,27,21
MIR637,4,9,8,7
MIR639,34,36,33,17
MIR647,11,6,10,9
TCF7L2,540,602,649,522
ZEB1,5,11,13,2
GCFC2,1276,1161,1160,787
TCF12,1255,1120,1524,994
BTG1,1290,1492,3204,2637
ZNF354A,779,753,795,525
TCF19,1161,1220,101,93
TCF20,1332,1311,1273,799
VPS72,1481,1463,1925,1224
MLX,1022,1002,1181,755
TCN1,16,7,20,8
TCOF1,5002,4287,1688,1181
TCP1,7332,7214,5053,3185
TRGC1,64,42,81,36
TRGC2,18,13,17,9
TRGJP,5,6,10,6
TRGV9,12,5,10,6
TCTA,571,509,937,575
BUB1,3459,3554,202,183
DYNLT3,1028,1111,1670,1322
DYNLT2,121,116,71,41
PPP1R11,1177,1172,1787,1006
DYNLT1,1352,1351,2018,1243
TDG,2726,2675,3104,2089
ACTC1,2,2,5,3
PRDX2,3437,2990,3886,2517
TEAD1,2871,2880,2676,2084
TEAD4,822,719,275,161
TEAD3,1115,1121,1411,920
TEC,86,91,99,70
TECTA,5,3,16,14
TEF,539,474,926,495
TMBIM6,23711,22956,30450,19025
BUB1B,1781,1838,141,136
TEP1,1169,973,2653,1655
TERF1,285,277,323,176
TERF2,802,745,863,571
TERT,72,61,2,2
TESK1,874,712,899,472
TF,7,5,1,1
TFAM,1931,1817,1525,951
TFAP2A,924,906,1161,683
TFAP2B,12,19,21,6
TFAP2C,5591,5152,5878,4272
TFAP4,902,700,326,246
NR2F1,147,120,36,26
NR2F2,5695,5600,5660,4138
TFDP1,2513,2646,1229,895
TFDP2,794,767,1403,941
TFE3,1716,1604,2342,1477
TFF1,15329,8537,28271,12374
TFF3,431,289,775,335
TFPI,458,298,395,138
TFR2,71,51,62,20
TFRC,7696,7153,7339,4893
TGFA,435,362,601,363
TGFB1,1055,844,902,588
TGFB1I1,20,28,23,17
TGFB2,27,19,64,54
TGFB3,776,398,807,303
TGFBI,772,429,2966,1207
TGFBR1,1698,1463,2359,1276
TGFBR2,43,54,116,126
TGFBR3,21,25,24,18
BYSL,1167,1113,1066,631
TGIF1,739,687,1655,1074
TGM1,71,98,103,76
TGM2,30,18,63,35
TH,194,137,365,255
THBD,313,227,322,197
THBS1,1444,1447,2021,1604
THBS2,11,11,32,16
THBS3,264,253,708,455
TSPO,192,138,259,161
THBS4,3,6,15,13
TCHH,134,177,172,139
THOP1,1405,1262,1074,720
THRA,519,549,309,221
THRB,425,426,453,299
THRSP,6,9,91,97
KLF10,1477,1363,2623,1952
TIA1,1556,1650,1721,1273
TIAL1,2736,2715,2568,1676
TIAM1,946,930,1412,1059
TIMP1,856,693,1630,926
TIMP2,948,926,1320,871
TIMP3,632,330,3962,1934
TIMP4,6,7,5,1
C1QBP,4177,4005,3419,2207
NKX2-1,5,3,10,4
TJP1,3608,3586,4791,3239
TK1,3422,3342,461,430
TK2,131,98,155,106
TKT,15126,13559,20614,12282
ICAM5,88,40,73,35
TLE1,1191,1158,1937,1326
TLE2,668,612,1158,711
TLE3,2352,2065,2203,1535
TLE4,17,19,21,18
TLL2,5,4,6,3
TLN1,4686,4081,5077,3352
SEC62,2464,2219,2657,1638
TLR2,6,4,20,11
TLR3,2,3,14,9
ACTG1,57820,54104,80696,49648
TLR5,34,52,58,48
TSPAN6,413,480,812,517
TSPAN4,509,476,378,252
GPR137B,99,131,203,129
TM7SF2,1777,1657,4940,3060
TRAPPC10,1804,1789,1758,1207
TMF1,1676,1682,2758,1752
TMOD1,230,233,254,186
TMPO,7868,7390,2000,1453
TMPRSS2,334,357,650,374
TMSB4X,15683,15398,29027,17473
CLDN5,5,8,0,1
TNNC2,2,4,10,2
TNFAIP1,1079,1184,2151,1398
TNFAIP2,190,150,86,52
TNFAIP3,66,46,84,34
TNFRSF1A,4350,3736,6628,3457
TNNI1,35,28,43,33
TNNI2,11,10,39,31
TNNT1,974,988,855,560
TNS1,567,591,468,448
TNXB,13,11,15,22
C1R,16,20,13,11
TOP1,8723,8976,9577,6333
TOP1P1,321,318,312,213
TOP1P2,103,119,111,95
TOP2A,8607,9347,1023,839
TOP2B,9794,10923,20815,15227
TOP3A,906,842,616,398
TP53,2882,2566,2247,1392
TP53BP1,1942,1953,2244,1582
TP53BP2,880,854,768,552
C1S,10,6,19,14
TP73,232,221,37,56
TPBG,2923,2901,3494,2473
TPD52,2814,2355,3172,1577
TPD52L1,6428,6391,9045,6234
TPD52L2,5220,4572,5041,3113
TPI1,16403,15135,15295,9665
TPM1,3345,3502,4981,3477
TPM2,57,52,122,93
C2,17,20,19,11
TPM3,9566,9640,7572,4968
TPM4,14153,12961,21824,12550
TPMT,366,339,443,283
TPO,40,23,45,34
TPP2,1041,1147,1140,729
TPR,6391,6515,5844,4117
TPT1,29643,26689,48221,26798
TPTE,117,111,155,142
C3,9,6,5,1
NR2C1,412,376,519,334
NR2C2,1299,1225,1454,939
HSP90B1,18276,17447,18860,12357
TRAF1,8,13,13,13
TRAF2,945,975,543,412
TRAF3,1298,1068,1150,702
TRAF5,302,366,452,392
TRAF6,302,301,493,322
HSP90B2P,746,646,712,458
ACTG2,20,21,48,84
C4A,29,30,59,42
TRH,4,6,22,15
CCT3,12932,12136,12586,7813
TRIO,2497,2356,2586,2007
TRIP6,912,690,1709,947
C4B,27,27,57,38
TRO,7,2,16,13
TRPC1,129,153,115,100
TRPS1,4866,4695,6279,4631
TRR-TCG4-1,3,7,2,1
H2AC19,221,178,832,477
INS-IGF2,216,266,96,93
ANP32AP1,228,210,203,112
MIR658,8,9,13,7
MIR663A,2,2,3,5
SNHG4,127,115,86,44
TSN,4469,4360,3760,2508
TSC1,875,902,1369,986
TSC2,3761,3242,4628,2812
TSG101,1183,1231,1705,1133
TSNAX,441,400,517,363
TSPYL1,4320,4023,9264,5846
CAPN5,108,145,205,202
EIPR1,1072,1019,1623,937
PHLDA2,1415,1018,1007,644
TST,387,331,666,464
GFUS,2354,1976,2778,1522
TTC1,1421,1370,1826,1088
DNAJC7,1560,1565,1605,1003
TTC3,3619,3777,5475,4055
TTC4,378,363,374,220
C5,41,66,24,21
TTF1,835,828,622,357
TTK,1668,1853,130,125
TTN,185,188,294,268
TTPA,45,40,15,5
TUB,60,59,17,19
CASC8,9,4,9,7
TUBA4A,292,254,137,112
ROCK1P1,211,187,215,154
MAFIP,120,119,240,145
RNF208,346,261,421,235
RGPD8,766,830,1034,735
DDX11L16,6,6,17,5
FAM156B,639,565,736,431
CHORDC1P4,85,100,80,53
MUC5B,481,242,1192,958
GOLGA8Q,3,4,8,5
TLCD2,111,89,260,128
GXYLT2,166,161,182,107
SDHAP2,552,608,569,426
MROH1,1551,1311,2315,1591
LOC727978,32,22,23,28
C5AR1,8,3,7,4
TUBB2A,910,896,543,406
LOC728024,44,49,55,29
BMS1P23,64,66,91,54
SSR4P1,19,14,17,14
GOLGA8O,9,11,21,16
FAM133DP,207,207,205,143
ZBTB8B,3,5,1,3
NUTM2A,24,24,42,29
NUTM2D,8,9,17,11
LINC02363,2,8,3,4
NUTM2A-AS1,163,160,215,131
LINC00460,8,1,4,3
RSPH10B2,6,3,5,3
NALF1,37,46,101,111
TMEM191B,157,144,89,57
PI4KAP1,363,318,353,224
MAGED4,9,9,17,15
FAM157A,213,188,340,239
D2HGDH,1120,963,1334,879
TUBG1,2431,2256,1263,931
LINC01881,40,35,67,38
FRG1-DT,7,3,6,8
GTF2H2C,1004,988,1043,632
LINC00992,69,118,131,104
OVOL3,5,4,5,1
ARHGEF34P,422,393,529,331
POTEF,283,272,326,227
LOC728392,2,2,7,9
TUFM,8947,7646,8527,5319
TPI1P3,362,360,342,216
PARGP1,79,80,88,62
GUSBP1,157,169,175,125
ZC3H12A-DT,66,48,110,69
GGT2P,41,35,63,36
PPIEL,16,15,24,5
DNLZ,834,638,614,339
SERF1B,354,315,469,291
GOLGA8H,10,11,12,10
SPDYE8,15,13,15,9
C2orf92,16,20,38,37
LOC728554,1784,1600,1314,824
ENTPD1-AS1,23,25,26,20
C12orf73,303,310,371,201
CNTNAP3B,7,6,10,7
CCDC192,13,22,19,18
CCDC169,3,3,3,3
TUFT1,614,625,1108,720
SDHAP3,508,475,741,428
PDCD6P1,169,120,231,139
ASB9P1,9,5,38,15
CCDC30,80,74,126,90
SKP1P2,303,291,391,261
DHRS4L1,209,182,280,183
FAM133CP,53,55,62,41
CDK11A,786,732,816,532
HNRNPA1P33,147,136,135,75
RPL13AP5,1634,1385,2605,1423
SLC35E2B,739,809,1241,884
FAM88B,144,136,173,100
EIF3CL,14603,12859,16994,9809
SPANXB1,5,4,9,6
TULP1,5,5,9,3
SPANXA2,30,32,51,37
LOC728715,18,20,6,6
ZBED3-AS1,30,33,28,21
MAP4K3-DT,42,36,95,47
NPIPB8,60,55,64,50
LOC728739,107,123,149,87
NPIPB6,64,62,81,54
LOC728743,37,36,61,41
ZNF566-AS1,20,29,31,17
PIN4P1,34,37,66,30
SCAMP1-AS1,175,135,372,208
PABPC1P2,8,5,8,3
ANKDD1B,8,7,12,6
NSFP1,159,164,275,159
C1GALT1C1L,39,31,34,22
FAM72D,623,597,60,38
NBPF8,882,890,1282,915
LINC00623,151,156,208,148
FAM182B,3,3,8,5
NPIPB11,193,189,197,140
TULP3,768,764,1141,748
CT45A2,80,64,80,47
PDE4DIPP1,23,18,32,15
ZNF736,357,264,275,183
PPIAL4F,104,120,115,82
RPS15AP10,5,9,7,5
CAPN1-AS1,70,66,160,93
UNC5B-AS1,2,0,85,22
LOC728989,8,10,16,12
HIRA,1548,1492,1310,879
ZBED5-AS1,81,64,117,85
RPEL1,226,226,197,150
FAAHP1,1,1,8,3
LOC729080,158,143,149,100
OIP5-AS1,3360,3223,2966,1896
GASK1A,9,9,2,1
AGAP5,39,34,44,38
BMS1P4,61,73,81,50
GTF2IRD1P1,98,119,130,90
FAM239B,143,123,335,218
KATNBL1P6,92,115,95,76
STXBP5-AS1,12,11,22,18
TNFSF4,73,76,38,28
LOC729218,147,149,160,153
KIAA2012-AS1,1,0,3,7
FAHD2CP,69,58,93,59
NUTM2B,9,11,18,12
ZNF286B,149,151,227,168
LOC729291,25,24,41,28
LOC729296,3,4,1,3
LINC01873,5,4,17,7
PLIN4,58,77,95,72
FAM86HP,105,89,188,133
TXK,4,7,9,9
CASTOR2,413,398,586,445
CCDC61,163,142,166,96
TXN,7492,7663,9145,5711
TMEM242,226,211,253,171
AACSP1,5,11,9,6
FAM72A,659,628,83,43
RGPD6,792,827,1063,750
DIRC3,16,23,80,44
SPDYE6,25,31,35,33
TXNRD1,7824,7416,8066,4761
CHP1P2,28,38,50,41
SPEN-AS1,118,108,170,118
ZNF812P,18,19,46,22
TEDC2-AS1,5,12,2,1
CCDC175,11,8,9,1
GOLGA2P6,1,2,19,8
LINC00847,61,72,79,72
LOC729683,12,6,11,8
TYK2,1470,1244,2148,1331
DNAJC27-AS1,15,17,69,26
LOC729732,54,53,23,24
LOC729737,246,231,425,355
PPIAP46,3,4,2,4
ZNF878,31,46,35,31
SEC14L1P1,27,25,37,28
TYMS,1794,1870,1387,911
FHIP1A,348,400,490,412
UMAD1,308,307,433,252
RGPD2,423,409,514,354
LOC729867,74,80,55,31
LOC729870,10,14,13,9
TBC1D3,17,16,27,22
TBC1D3H,16,18,33,25
CRPPA,8,12,50,21
SHISA7,7,3,3,0
MORN2,187,223,568,330
LINC01530,3,7,7,7
NPIPB2,72,80,118,65
BORCS8,319,279,407,277
SHISA9,645,733,420,371
ABCC6P2,19,27,34,23
ZNF814,385,369,512,293
ZNF726,257,248,113,87
LINC00886,51,44,248,131
RRN3P1,195,191,162,113
MOSMO,243,259,386,235
LOC730098,9,11,21,11
TYRO3,1201,1189,573,413
LOC730101,269,299,185,134
CRYZL2P,31,36,56,40
FAM166B,2,3,6,3
LOC730183,76,69,91,57
MEIS1-AS3,3,5,7,15
PAPOLA-DT,42,21,47,26
BTG2-DT,6,4,16,9
LOC730234,9,7,14,8
PPIAL4E,99,111,110,83
ANAPC1P4,321,295,257,175
U2AF1,1636,1574,1436,821
LINC02447,1,1,7,8
LOC731075,5,13,2,3
UBA52,9520,8350,12630,6939
LOC731157,7,9,11,7
LINC01220,4,3,12,5
LINC01347,72,72,113,80
UBB,10980,10479,11795,7383
UBC,33842,30816,51085,28699
LINC01348,7,2,48,14
UBA1,15354,13967,20400,13059
UBA7,10,7,23,8
UBE2A,2232,2338,2615,1652
UBE2B,1414,1221,1573,1027
UBE2D1,367,298,337,248
UBE2D2,3282,3185,2895,1849
COMMD4P2,7,5,5,4
UBE2D3,4892,4533,5346,3263
UBE2E1,1511,1362,1672,1056
UBE2E2,224,263,300,195
UBE2G1,1414,1370,1612,974
UBE2G2,1690,1453,2055,1085
UBE2H,1717,1649,5031,2856
UBE2I,5448,5105,5575,3333
C8G,24,15,40,19
UBE2L3,2811,2827,3303,2200
UBE2N,3827,3672,4139,2542
UBE2V1,3960,3839,5306,3240
UBE2V2,2471,2324,2093,1327
UBE3A,2743,2643,2541,1629
OSGIN2,3145,3082,2983,2062
SUMO1,3135,3201,3674,2229
UBP1,3257,3314,3378,2423
UBTF,4688,4486,3757,2419
UCHL1,37,37,30,20
UCHL3,599,533,672,394
UCN,6,6,21,5
UCP2,2304,2104,9556,5548
UCP3,5,9,15,16
UFD1,2295,2362,2784,1545
SNHG9,360,258,367,160
SLC35A2,1180,1135,1972,1265
UGCG,1487,1786,2890,2073
UGDH,4455,4054,7763,4757
UGP2,2812,2816,3271,2100
UGT2B15,13,3,27,12
UGT2B17,3,1,6,3
UCK2,2343,2033,1619,972
UMPS,2086,1768,1556,930
COL14A1,2,3,9,4
UNG,4608,3906,2534,1313
USP4,1090,1023,1187,754
NR1H2,1362,1260,1977,1090
UPP1,61,47,56,18
UPK2,300,358,710,478
VPS51,2013,1750,2517,1536
UPK3A,4,2,15,9
UQCRB,3626,3608,5896,3265
UQCRC1,3122,3025,3745,2434
UQCRC2,5068,5041,7465,4234
UQCRFS1,2791,2687,2839,1784
UQCRH,4873,4691,5834,3306
UROD,657,595,844,580
UROS,351,399,646,471
USF1,791,819,1150,726
USF2,2983,2444,3833,2135
USP1,3007,2919,1270,872
MRPL49,2549,2482,2977,1821
UTRN,1211,1400,2272,2089
KDM6A,862,876,1093,770
UVRAG,1353,1259,1729,986
VARS1,4709,4072,4094,2678
VASP,2282,1904,2387,1345
VAV1,72,55,168,53
ZNHIT2,232,222,304,205
VAV2,2775,2732,3417,2185
VBP1,2107,2194,2073,1291
VCL,1980,2035,3137,2204
VCP,12754,11813,19265,11783
VDAC1,7649,7762,8968,6133
VDAC2,5165,4662,4854,2875
VDAC3,2339,2361,2221,1469
VDR,606,458,694,356
VEGFA,942,838,1117,625
VEGFB,393,329,247,141
VEGFC,17,15,16,13
VGF,835,696,479,338
VHL,2901,2919,3707,2392
VIL1,237,237,95,86
EZR,5366,4841,9209,5404
VIM,63,75,131,105
VIPR1,162,142,425,221
VIPR2,110,88,121,73
VLDLR,254,258,328,175
BEST1,6474,5560,8570,4581
MPPED2,134,113,186,108
TRPV1,51,39,75,39
VRK1,905,978,276,203
VRK2,943,914,789,458
VTN,6,6,10,10
MYRF,44,52,45,28
VWF,25,23,56,33
WARS1,5481,4639,6713,3806
WAS,34,24,66,51
WIPF1,1034,800,879,512
EIF4H,8291,7514,7977,4806
TMEM258,1405,1337,1580,911
CLIP2,42,50,64,30
LAT2,12,9,13,11
CORO2A,255,280,371,172
WEE1,704,750,532,336
WFS1,1409,1353,1634,1161
NSD2,7884,7969,3431,2513
NELFA,1197,1035,967,661
DAGLA,319,328,307,245
WNT3,42,30,56,24
WNT6,19,22,5,6
WNT7B,687,653,892,588
WNT8B,17,15,8,7
WNT10B,70,53,25,15
WNT11,33,46,14,20
WNT2B,24,16,25,19
WNT9A,75,84,123,75
GET1,948,882,685,478
WRN,1077,1069,819,556
XBP1,33809,26734,75507,40051
XG,87,85,1531,823
GAS8-AS1,66,36,89,49
XK,355,272,198,128
XPA,212,225,334,197
XPC,1899,1659,6413,3594
CSKMT,130,135,196,128
XPNPEP1,553,510,495,330
XPO1,11386,11896,9094,6498
XRCC1,1060,1026,950,662
LINC00106,8,10,45,28
XRCC2,852,926,67,62
XRCC3,837,774,230,208
XRCC4,147,118,128,81
FMNL1,264,281,182,122
XRCC5,16828,17139,14594,9637
CEMP1,205,185,279,146
YES1,4116,3926,4217,2539
YY1,4402,4065,3864,2535
YWHAB,11809,12541,15033,9846
LDLRAD4,523,342,1324,706
YWHAE,10264,10730,10272,6478
YWHAG,9123,8214,10033,6206
YWHAH,5405,5088,4228,2916
YWHAZ,31610,28857,38046,23272
ZAP70,4,12,12,2
SF1,6646,5932,5919,3665
ZFP36,762,933,1357,1118
PTTG1IP,4016,3953,5048,3188
ZBTB14,493,496,377,252
ZFPL1,687,599,773,447
ZFX,965,980,1166,733
ZFY,22,24,28,10
ZIC1,110,99,174,106
ZIC2,246,221,154,91
ZIC3,7,11,1,4
ZNF2,96,108,171,116
CFAP410,338,323,459,339
ZNF3,766,788,1167,728
ZNF711,159,169,115,97
ZNF7,719,667,911,620
ZNF8,331,324,530,395
CNBP,8622,7931,8736,5035
ZNF10,58,56,73,66
ZNF12,1021,916,1606,921
ZNF14,241,227,294,190
ZNF708,227,243,319,224
ZNF16,238,198,377,219
ZNF17,189,142,274,173
ZNF18,108,101,103,59
ZNF19,68,40,127,62
ZNF20,73,82,201,144
ZNF182,99,150,245,194
TMEM50B,675,569,881,517
ZNF23,371,394,470,297
ZNF24,1742,1634,2860,1747
ZNF26,275,249,273,188
ZNF28,1595,1579,2500,1530
ZSCAN20,67,70,149,91
ZNF32,371,358,450,317
ZNF33A,828,958,1295,844
ZNF33B,357,409,778,544
ZNF35,112,139,238,152
ZKSCAN1,2083,2097,4080,2846
ZNF37A,421,456,811,494
ZSCAN21,105,123,171,116
ZNF41,527,531,684,520
MZF1,288,255,551,376
ZNF43,770,763,591,330
ZNF45,159,225,265,193
ZBTB25,832,814,698,476
CA2,2,7,2,2
ZNF56P,9,9,27,17
ZNF66,270,248,189,122
CA4,890,851,1134,713
ZNF69,97,116,150,117
ZNF70,111,110,271,135
ZNF74,384,382,518,352
ZNF75D,398,416,622,420
ZNF75A,608,696,1111,717
ZNF76,597,487,729,428
ZNF79,153,155,451,331
ZNF84,555,573,714,497
ZNF221,5,8,10,11
ZNF85,313,291,198,108
ZNF90,1058,944,1130,573
ZNF91,800,796,1573,1032
ZNF99,4,6,2,4
CA8,27,30,11,17
ZNF222,25,22,53,50
ZNF121,901,727,1011,613
SYS1-DBNDD2,158,134,125,62
LUZP6,3928,3827,4413,2890
ZNF124,122,119,129,88
PFN1P2,15,17,24,21
HAR1A,6,5,4,1
HAR1B,6,5,7,3
MKRN3,117,107,133,90
PRCD,11,13,34,25
RELL1,386,405,422,283
MIR671,21,23,48,31
ZNF131,1994,2029,2057,1379
ZNF132,23,28,27,37
ZNF133,182,224,262,220
ZNF134,545,547,1078,611
ZNF136,163,103,152,105
ZNF137P,131,134,134,97
ZNF138,484,554,510,338
ZNF140,343,345,660,384
CA11,46,68,53,31
ZNF141,396,427,265,232
ZNF142,2051,1771,1457,1059
ZNF143,422,394,395,360
PCGF2,922,838,1026,607
ZNF146,2697,2746,2828,1752
TRIM25,5982,5342,6683,3670
ZNF148,1844,1724,2329,1487
ZBTB17,389,381,556,365
CA12,8366,8685,11135,8467
ZNF154,30,21,13,10
ZNF155,45,61,140,97
ZNF157,5,2,10,5
VEZF1,1946,2134,3650,2337
ZNF165,170,131,159,64
TRIM26,1929,1845,3731,2234
ZNF174,470,413,556,363
ZNF175,3,9,20,19
ZNF177,5,7,5,4
ZNF180,242,236,237,151
RNF113A,371,347,537,316
ZNF184,149,193,180,101
ZNF185,1195,1507,2325,1925
ZSCAN26,119,150,243,158
ZNF189,113,153,202,151
ZKSCAN8,405,452,753,522
ZSCAN9,112,120,212,144
ZNF195,394,393,784,510
ZMYM2,4013,4222,5731,4050
ZNF200,542,587,714,478
ZNF202,220,245,257,189
ZNF204P,27,45,46,34
ZNF205,533,547,625,396
ZNF207,3710,3619,4002,2292
ZNF208,7,7,4,1
CACNA1D,165,179,267,154
ZNF213,832,683,820,523
ZFAND5,2193,2222,3375,2223
ZNF217,8688,8676,20307,13431
ZNF223,36,40,84,84
ZNF224,73,96,258,157
ZNF225,24,32,69,56
ZNF226,163,169,436,285
ZNF227,164,189,286,202
ZNF112,9,24,29,24
ZNF229,61,59,97,59
ZNF230,23,40,28,29
ZNF232,122,123,74,56
ZNF236,477,440,442,315
SLC30A1,1009,812,2008,1196
CACNA1F,9,8,29,22
SLC30A2,8,7,0,1
SLC30A3,157,130,121,76
SLC30A4,158,164,143,81
ZP3,92,70,106,72
MAP3K12,925,765,1530,833
ZXDA,153,138,254,166
ZYX,2894,2277,3645,2312
LUZP1,797,833,1201,804
PRDM2,562,508,714,423
DDR1,12486,10229,25290,13548
DNALI1,4,7,12,3
PTP4A1,12408,11722,21276,13286
LRP8,2094,1984,1490,925
TVP23A,181,151,176,98
SNORD3A,8,8,2,8
SNORD3B-2,4,3,2,5
SNORD3C,6,4,2,5
CSDE1,76663,77350,96495,60548
EVI5,219,182,401,281
DAP3,2402,2230,3133,2004
CACNB1,88,73,47,30
CACNB2,42,32,69,22
BTG2,798,778,7859,4257
PXDN,4201,3596,7701,4784
CACNB3,1133,1139,1132,803
ALMS1,1275,1456,991,863
MOGS,3553,3093,4448,2929
RNF103,1494,1346,2280,1345
TUBA1A,11912,11063,7831,6580
PAX8,50,40,81,39
CACNB4,5,8,7,3
MALL,30,35,146,69
CXCR4,45,25,132,28
FZD5,843,750,927,590
SCG2,5,6,7,3
CACNG1,8,13,18,12
BRPF1,1330,1241,1204,810
IFRD2,2423,2002,1560,957
MAPKAPK3,1278,1149,1554,862
SEMA3B,2655,1905,4081,2495
SLMAP,1275,1250,1383,895
MANF,1455,1372,1192,722
USP7,7622,7694,7237,4898
RAB7A,8168,7424,10018,5684
SLC25A20,221,238,386,231
KCNAB1,720,714,759,511
SLBP,1903,1847,670,452
CRELD1,470,438,992,591
MRPL57,2116,1724,2193,1253
OTUB2,114,99,167,121
PCYOX1L,628,576,614,415
YIPF2,1400,1270,1840,1128
PRR14,1235,1092,1282,817
HROB,247,222,34,29
CYREN,1279,1203,1350,830
RHPN1-AS1,146,110,121,81
LRFN4,1180,891,773,486
CAD,4746,4139,3090,2472
AUNIP,305,379,233,168
VKORC1,1648,1533,645,428
TRIR,3250,2955,3103,1737
MIS12,462,484,328,230
CUEDC2,424,381,605,381
SCNM1,464,481,520,295
METRN,4583,3754,4562,2829
DBNDD1,2351,2045,3432,2210
SLX1B,471,461,445,273
DDX50,1256,1230,1446,771
LINC01260,4,3,10,7
DDA1,626,615,1083,621
GGCT,3699,3708,3337,1973
GID4,110,115,186,127
CENPM,541,484,82,73
C7orf25,339,305,406,284
TMEM106C,2602,2728,2031,1335
NUP37,1115,1077,924,505
SMIM2,2,2,2,5
AHNAK,15269,17878,19955,24812
SPATA5L1,399,292,323,200
ST8SIA4,82,46,98,41
PDCL3,1356,1279,1790,1113
ERI3,969,850,950,583
INTS15,725,682,902,581
NABP2,1366,1324,1181,749
KXD1,1634,1495,1789,1059
PVRIG,85,78,128,89
ZFYVE21,1541,1593,2132,1537
DDX54,5047,4128,4219,2492
TMEM38A,26,36,44,28
TSEN34,3045,2874,1943,1372
KCTD15,2492,2398,2054,1551
SECISBP2,1333,1280,2050,1315
REEP5,5565,5492,6189,3952
NOC4L,999,839,671,434
ALG8,1114,1130,1710,994
PRRG4,525,514,407,235
ASPSCR1,719,627,739,480
TMEM223,893,761,942,612
ATG9A,2212,1982,2448,1508
METTL16,1149,1163,959,610
FTO,625,628,1017,613
POGLUT2,202,209,134,85
ELOVL6,1913,1729,1882,1078
FASTKD3,250,247,316,191
TMEM109,2659,2635,1593,1150
C2orf49,600,624,918,554
DSCC1,1010,953,121,103
DCTPP1,3439,3179,2783,1673
C1orf50,207,247,338,195
CCDC86,1922,1698,1387,904
LBHD1,1010,901,1052,612
MLPH,7285,6018,16442,8899
WDR77,1964,1805,1851,1259
SLC25A23,1304,1204,1524,889
SMIM7,1363,1377,1866,1043
ALG12,723,597,705,434
ZNF426,3,5,6,1
TMUB2,426,445,625,374
TRAPPC6A,386,391,815,537
METTL22,426,330,439,296
CARD14,166,173,309,238
CHAC1,167,106,194,83
BBLN,1100,954,1346,910
UQCC3,867,689,680,408
CSTPP1,392,431,800,462
C1orf116,0,0,14,2
TAF1D,735,733,798,503
RNF26,2234,1841,759,482
MAPKAP1,3262,3228,4448,2698
DEK,6293,6383,2213,1617
DHX58,15,9,33,19
NDUFAF5,446,361,397,280
TMEM185B,2109,1779,2399,1420
APOO,443,346,476,282
RETREG2,2394,2179,2735,1714
DERL1,5356,5149,6034,3780
CCDC28B,38,35,18,24
PHF23,989,995,1221,825
MBOAT7,2001,1771,2392,1602
PPDPF,9163,7746,10353,6050
CHCHD7,272,250,327,209
FKRP,289,286,315,199
MMP28,1,3,13,7
ZSCAN5A,143,124,193,111
ALDH5A1,1157,1084,1516,1047
MGC4859,662,700,493,364
FA2H,470,413,760,351
GDPD3,160,150,195,113
DHRS11,252,260,210,129
TNIP2,1193,1008,1231,749
PLEKHF1,76,71,177,107
MFSD11,1270,1194,1012,659
GNPTAB,2799,2786,4043,2531
NOL12,371,373,372,220
PRRC2A,13240,12154,10007,7257
TMEM243,330,310,404,254
LENG1,377,318,415,237
C1orf35,308,294,247,147
BAG6,5574,5113,6661,4289
PRR15L,787,784,1814,1056
RBM42,1982,1879,1738,1101
CENPO,2130,1996,727,492
BRME1,38,33,19,12
CRELD2,1163,1055,915,571
ZNF343,153,158,191,151
FBXL15,387,379,638,392
ZNF576,310,319,285,163
THTPA,592,555,975,586
GPANK1,431,362,375,181
EFHD2,744,607,615,349
TTPAL,931,991,1286,875
BRCC3,1872,1793,1311,955
FSD1,88,100,33,47
TMEM43,2570,2488,3578,2290
DDX39B,2715,2662,2742,1757
IRX6,9,3,5,2
IRX3,678,538,837,420
ABHD16A,933,885,1245,738
SLC39A7,4191,3898,5327,3050
THOC6,1313,1287,874,668
HSD17B8,118,83,142,102
ZNF557,169,189,283,162
MMEL1,134,93,158,79
DCAF10,945,806,1320,791
OR7E91P,4,3,8,4
NELFE,1631,1546,1496,955
CPLANE2,102,121,152,112
ZXDC,743,741,1013,659
BHLHE41,10,5,12,4
HMGN5,19,22,20,19
B3GNT4,406,419,496,299
CALB2,202,362,202,239
NOX5,19,18,32,21
GLB1L,85,71,137,93
KREMEN2,1117,808,777,442
LRFN3,277,195,245,166
CYBC1,1280,1107,1698,882
TFEB,136,115,203,111
HAUS3,484,537,281,185
FYCO1,684,671,1581,1019
BIRC7,19,18,35,15
WDR25,207,183,321,182
PAGR1,2850,2577,2258,1394
ULBP3,74,84,152,81
DLEU2L,9,6,5,5
RIPOR1,2545,2169,2138,1394
MAIP1,901,890,905,582
EPM2A,119,66,96,70
NKAIN1,77,80,66,83
GCC1,850,779,1141,758
ATP13A3,5031,4529,5365,3102
TTC13,338,417,462,269
ABHD8,89,79,94,60
NKAP,404,451,549,326
CDC73,2560,2435,2582,1707
SLC52A2,3403,2729,2721,1723
TMEM231,367,240,374,283
