Genes,control_1,control_2,Nutlin_1,Nutlin_2
PPP5D1P,21,29,35,14
ARAP1-AS2,73,70,58,42
LINC02606,5,3,6,1
LOC100506023,12,15,7,6
PTOV1-AS1,119,156,156,127
CNNM3-DT,14,14,4,2
GAS5-AS1,64,55,102,62
RNASEH1-DT,312,272,220,138
SMG1P7,75,80,70,51
RBFADN,4,4,4,4
LOC100506071,19,29,8,5
LOC100506076,8,11,11,14
LINC02749,2,3,8,3
DDX19A-DT,116,124,127,68
ARL17B,63,62,95,55
MACC1-DT,12,10,29,24
ZDHHC12-DT,175,200,307,188
UVRAG-DT,4,7,16,4
LINC01503,4,3,24,17
LINC02969,7,8,12,13
ADCY6-DT,6,4,6,2
GVQW3,221,267,131,119
RHOQ-AS1,7,3,6,4
TMEM35B,92,74,126,99
SRP54-AS1,2,8,6,9
TAF1A-AS1,34,18,60,25
HSFX1,6,4,5,5
LINC00963,285,242,585,272
LOC100506207,24,25,29,22
MIR210HG,34,31,57,27
PAXBP1-AS1,16,27,27,24
RAB30-DT,285,314,403,253
LOC100506235,9,12,12,7
SYT9-AS1,9,11,20,20
LINC02492,11,13,15,8
LOC100506281,5,2,9,4
ANKRD42-DT,96,80,100,62
TBC1D8-AS1,30,30,28,14
ID2-AS1,33,57,87,55
RBM33-DT,72,75,96,57
HOTAIRM1,7,3,9,9
GPRC5D-AS1,56,50,93,57
LOC100506321,72,59,83,43
SP2-AS1,72,64,83,42
LINC00649,76,83,154,98
INKA2-AS1,12,18,51,38
ARSD-AS1,67,87,172,119
OTUD6B-AS1,777,786,963,559
FZD4-DT,12,6,28,13
RNF32-DT,366,419,436,330
SLC16A1-AS1,7,11,3,2
GAS6-DT,13,10,13,6
ELOVL2-AS1,9,10,17,10
MAP3K9-DT,137,121,328,168
CBR3-AS1,173,128,293,185
LINC00648,10,10,10,27
SPAG5-AS1,333,352,403,294
RASSF8-AS1,15,14,17,17
TMEM147-AS1,222,203,233,141
LOC100506472,15,11,10,5
C2orf49-DT,221,193,198,130
MIDEAS-AS1,21,22,40,25
DSCAM-AS1,18780,19087,33652,19704
LIFR-AS1,77,64,130,89
PRKCZ-AS1,9,12,19,12
LINC01176,13,14,28,21
SPTY2D1OS,139,145,172,101
L3MBTL2-AS1,97,92,94,51
LOC100506551,46,28,40,23
C16orf95,77,55,48,31
PPP1R26-AS1,120,127,93,76
VASH1-AS1,99,89,114,79
