Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
ANKRD12,1160,1509,1958,1658,1130,1490,1617,1771
ANKRD13A,1534,1442,837,677,1153,1291,876,1093
ANKRD13B,1338,1036,1672,971,793,777,767,665
ANKRD13C,983,1067,983,925,1096,1013,758,928
ANKRD13D,2809,2521,3889,2473,1968,1868,1715,1865
ANKRD16,682,581,402,366,518,452,444,559
ANKRD17,4712,5424,5662,4576,3250,4587,4571,5173
ANKRD18A,287,284,108,162,201,160,149,201
ANKRD18B,232,287,114,138,217,247,180,226
ANKRD18EP,462,416,540,530,276,275,331,389
ANKRD19P,9,7,16,28,0,0,1,14
ANKRD2,17,8,68,20,22,17,43,20
ANKRD20A11P,23,55,26,18,34,37,14,25
ANKRD20A18P,1,1,0,3,3,16,5,11
ANKRD22,9,13,7,11,28,10,32,12
ANKRD23,39,27,28,13,16,31,14,7
ANKRD24,71,44,32,69,11,6,5,9
ANKRD26,482,606,375,521,296,296,247,321
ANKRD27,3682,3427,4345,3540,2469,2593,2673,2966
ANKRD28,3777,4005,2914,2735,2929,2881,2726,3069
ANKRD29,2,5,50,17,13,4,39,30
ANKRD30B,1,11,2,19,1,1,1,1
ANKRD31,33,28,26,49,37,28,34,26
ANKRD34B,10,1,3,0,5,16,0,18
ANKRD36,335,397,154,216,222,201,139,120
ANKRD36B,167,153,83,112,127,129,133,137
ANKRD36C,77,103,37,42,116,118,78,95
ANKRD37,58,68,43,95,84,58,60,86
ANKRD39,836,780,641,596,569,477,378,379
ANKRD40,3385,2905,4218,2849,2240,2514,2438,3006
ANKRD42,321,350,331,558,333,243,273,247
ANKRD42-DT,49,66,81,93,108,108,104,113
ANKRD44,61,74,33,106,70,84,66,169
ANKRD46,1589,1626,1640,1909,1715,1531,1151,1254
ANKRD49,352,285,312,358,195,224,205,256
ANKRD50,1973,2160,3245,2755,1291,1431,1533,1745
ANKRD52,9206,10362,10728,9078,5466,7165,6941,7371
ANKRD53,8,1,21,11,1,0,17,3
ANKRD54,1385,1041,1339,1364,1101,904,906,1094
ANKRD6,223,234,103,121,95,90,67,54
ANKRD61,23,19,30,29,10,16,14,25
ANKRD63,16,3,4,4,14,8,14,21
ANKRD65,1,7,7,4,4,4,8,3
ANKRD9,2532,1822,1210,1090,2072,2031,1585,1807
ANKS1A,3320,3471,3784,3223,2473,2669,2776,3130
ANKS1B,170,166,198,153,88,101,84,122
ANKS3,1371,1271,1351,936,1297,1261,1038,1226
ANKS6,651,537,290,623,1045,1340,1292,1289
ANKZF1,2239,2003,1689,1264,1788,1476,1154,1525
ANLN,6257,6574,3150,5601,4784,5376,5044,5867
ANO1,24,15,0,0,14,14,9,5
ANO10,1311,1353,908,1405,1171,1147,970,1087
ANO2,4,0,0,0,18,12,1,2
ANO6,2893,3071,5932,3555,2535,2744,4256,4230
ANO7,110,44,22,55,24,39,22,48
ANO8,1465,1173,1141,920,737,945,746,736
ANO9,1209,1180,1177,893,400,416,391,416
ANOS1,129,126,199,341,116,135,184,110
ANP32A,5466,4655,3115,4441,4422,3810,3071,3603
ANP32B,20299,18016,13364,15685,24320,20407,19326,21193
ANP32BP1,21,8,25,14,13,12,12,5
ANP32E,5541,5885,3704,4015,4376,3744,3745,4208
ANTKMT,3147,2294,2285,2310,3254,2786,2423,2688
ANTXR1,1484,1315,1468,1297,1129,1191,1509,1541
ANTXR2,0,5,0,2,7,0,6,1
ANXA1,4,4,40,70,8,7,35,10
ANXA11,7534,6071,5701,5620,6672,6420,6477,6935
ANXA2,8160,6710,11756,11545,11240,10004,12970,12965
ANXA2R,487,495,286,484,617,443,355,358
ANXA2R-AS1,324,337,181,266,159,190,157,197
ANXA2R-OT1,819,758,579,582,593,536,361,408
ANXA3,53,36,373,158,288,240,530,360
ANXA4,3727,3391,1761,2028,3415,2775,1781,1869
ANXA5,10110,7944,5804,6685,9643,8720,7498,7732
ANXA6,7231,6329,3522,7729,8568,9311,9117,10292
ANXA7,5927,5561,5239,5841,4687,3876,3744,4255
ANXA9,5234,4807,4786,5835,4584,3480,3343,3151
AOC2,119,161,284,82,187,123,156,228
AOC3,67,60,80,4,11,13,14,28
AOPEP,1563,1411,1512,1044,5094,4580,3080,3153
AOX1,74,77,4,16,34,23,3,15
AP1AR,2181,1831,1158,962,2461,2101,1930,2024
AP1B1,8154,7373,8406,9783,8715,9321,9008,9462
AP1G1,8223,8888,7418,8822,6628,7466,6616,7332
AP1G2,2799,2601,2623,2371,1576,1616,1314,1360
AP1G2-AS1,22,22,14,23,13,9,10,17
AP1M1,3496,3108,2944,2726,2820,2741,2214,2596
AP1M2,8366,6373,6454,7291,6378,5601,4931,5331
AP1S1,19595,14839,19263,22288,14192,11647,10890,11597
AP1S2,2027,1960,1429,1288,1728,1301,1052,1162
AP1S3,252,219,348,514,320,338,583,627
AP2A1,8233,7368,8915,8732,5902,6286,5573,5707
AP2A2,2043,1881,2112,1553,1843,1928,1477,1771
AP2B1,7253,7146,5867,6417,5105,5528,5902,6241
AP2M1,28265,23409,24070,25550,10065,9521,9464,10840
AP2S1,9595,6827,6111,6607,9415,7594,7169,7642
AP3B1,3873,4074,3397,4736,2610,2387,2254,2434
AP3B2,35,48,14,74,12,13,9,2
AP3D1,10152,9073,12671,8926,7602,8542,9181,9636
AP3M1,3252,3317,2611,3830,2963,2838,3011,3103
AP3M2,1210,1114,575,853,1036,1087,927,960
AP3S1,2930,2669,2728,4172,4234,3549,3619,3757
AP3S2,479,411,349,531,393,349,326,333
AP4B1,2636,2467,1707,2100,2178,2053,1731,1827
AP4B1-AS1,414,351,343,269,245,284,211,284
AP4E1,3894,4795,3999,4407,3384,3207,2977,3387
AP4M1,1155,966,509,987,1301,1076,692,836
AP4S1,340,261,143,178,268,252,148,183
AP5B1,1163,1004,1832,1054,538,721,887,762
AP5M1,2229,2015,1441,1461,2264,1900,1721,1807
AP5S1,948,803,805,722,676,723,567,625
AP5Z1,3432,3067,4367,2511,2071,1852,1534,1675
APAF1,1117,1196,527,825,853,970,684,763
APBA1,14,17,8,50,3,6,6,5
APBA2,133,176,58,123,135,171,116,145
APBA3,593,456,675,497,347,357,328,335
APBB1,53,48,18,22,12,15,8,16
APBB2,1804,1933,1551,2486,1105,1185,989,1234
APBB3,693,725,686,663,269,307,236,303
APC,1595,1993,1824,1583,1390,1465,1413,1800
APC2,426,414,470,439,288,296,310,284
APCDD1,31,13,8,22,16,28,12,25
APEH,8233,7061,5969,6754,6703,6640,5646,5931
APEX1,18960,16256,14770,14741,20231,17573,15565,17384
APEX2,1456,1264,929,1032,1548,1281,1052,996
APH1A,23731,19343,19735,18198,22398,18748,17164,18720
APH1B,360,278,262,335,192,153,67,58
API5,5375,5260,3779,4884,4482,4211,3367,3818
APIP,1697,1720,1082,1085,1819,1533,1071,1112
APLF,17,8,14,19,4,0,1,2
APLN,0,1,0,1,12,4,12,15
APLP1,570,357,173,378,221,265,157,178
APLP2,27919,24932,15094,13413,24581,24963,18594,19928
APMAP,12015,9982,9892,8452,12294,10939,10314,10805
APOA1,226,194,51,50,198,136,28,65
APOA5,40,61,0,11,13,5,8,8
APOBEC3B,260,301,102,96,203,168,94,134
APOBEC3F,55,51,25,25,20,21,5,2
APOBEC3H,19,22,55,103,1,0,0,0
APOBR,28,60,24,25,22,27,13,38
APOC1,64,57,29,40,67,40,36,38
APOC3,24,14,1,4,25,25,5,4
APOD,5,13,13,1,2,1,0,4
APOE,555,283,1406,497,168,190,132,176
APOL2,574,538,464,297,390,366,242,249
APOL3,18,22,2,1,1,2,10,11
APOL4,9,17,0,0,0,1,0,0
APOLD1,81,69,102,288,66,59,95,122
APOM,35,44,29,23,64,25,29,43
APOO,769,704,499,942,1216,890,913,1033
APOOL,242,265,90,185,227,257,173,195
APP,16368,15288,20165,16193,21783,23107,24452,25072
APPBP2,16112,15811,19768,20621,13323,12401,11325,12350
APPL1,2097,2021,814,853,2136,1898,1532,1676
APPL2,2375,2167,3186,2554,1416,1138,1296,1412
APRG1,5,1,11,5,4,1,5,5
APRT,18406,15063,9953,16952,23458,19608,20925,22234
APTR,492,384,601,366,362,351,340,418
APTX,1226,1122,843,1148,1161,961,1008,1065
AQP11,323,360,277,455,277,242,185,170
AQP3,4969,3770,1391,952,743,507,282,354
AQP6,19,21,29,14,1,10,12,7
AQP7,35,33,1,11,0,0,0,0
AQR,2018,1981,1372,1900,1644,1950,1799,1896
AR,2540,2672,1844,3261,1830,2182,2018,2196
ARAF,2532,2170,2036,1807,2371,2310,2006,2240
ARAP1,2623,2404,3247,2704,1270,1604,1348,1312
ARAP2,121,171,195,213,117,152,181,139
ARAP3,11,8,17,21,11,24,8,8
ARC,93,89,126,86,292,295,309,342
ARCN1,12450,12500,14519,18136,10372,10997,12673,12950
AREG,205,216,126,552,698,792,912,1078
AREL1,4044,4288,5697,5644,3330,3448,3636,3811
ARF1,16622,13599,13320,16352,17920,15231,15523,16943
ARF3,17709,15663,11602,16835,14945,14112,12265,13422
ARF4,4786,4331,4949,7233,6707,5531,6780,7075
ARF4-AS1,1,0,4,6,6,1,3,2
ARF5,10431,8323,7897,9300,9013,7240,6691,6842
ARF6,7796,6193,4470,4787,7151,7782,6095,7042
ARFGAP1,5067,4560,5897,4294,3614,3600,3566,3722
ARFGAP2,7569,6756,4607,6322,5986,5836,4766,4927
ARFGAP3,819,767,847,1111,595,626,557,500
ARFGEF1,2222,2423,3165,2193,1655,1730,1807,2074
ARFGEF2,4171,4354,4980,3863,2345,3015,2841,2808
ARFGEF3,3026,3386,2368,1329,1796,2227,1904,2086
ARFIP1,2275,2254,2122,2887,2385,1872,1867,2064
ARFIP2,8955,6585,7288,7065,6940,6568,7013,7662
ARFRP1,2654,2020,1850,1565,2177,1805,2208,2213
ARG2,116,170,119,69,115,104,62,48
ARGLU1,1822,1633,1558,1620,1887,1642,1663,1848
ARHGAP1,4684,4064,3203,4717,5754,5827,5701,6147
ARHGAP10,1298,1139,1029,1304,1351,1322,1327,1565
ARHGAP11A,3851,3996,2031,2417,3411,3941,3110,3546
ARHGAP12,2485,2391,1612,1211,1230,1110,506,575
ARHGAP17,1222,1001,1261,1214,1027,1278,1316,1418
ARHGAP18,589,622,503,683,649,577,503,533
ARHGAP19,1398,1471,1139,1782,1149,1028,1190,1303
ARHGAP21,2135,2256,1549,869,1466,1893,1019,980
ARHGAP22,6,4,0,0,4,13,0,15
ARHGAP24,189,108,30,95,37,23,43,34
ARHGAP26,180,211,178,251,185,189,224,224
ARHGAP27,1729,1533,2374,2270,1382,1508,1403,1640
ARHGAP27P1-BPTFP1-KPNA2P3,38,38,34,28,27,15,20,44
ARHGAP29,2390,2611,1764,1175,2333,2485,1505,1686
ARHGAP29-AS1,0,1,0,1,5,5,0,8
ARHGAP30,79,111,37,187,65,55,44,45
ARHGAP31,8,3,19,7,13,26,20,10
ARHGAP32,3391,3637,2752,2347,2335,2606,2520,2750
ARHGAP33,746,805,407,614,594,786,652,739
ARHGAP35,11127,10536,15128,9536,8301,10585,11024,12509
ARHGAP39,1594,1239,717,656,896,1047,574,658
ARHGAP4,741,623,612,693,324,357,299,348
ARHGAP42,10,2,33,38,4,4,4,14
ARHGAP44,96,94,23,56,41,22,6,18
ARHGAP45,1186,942,1406,1259,842,775,835,830
ARHGAP5,1938,1953,1927,1612,3147,3368,4369,4756
ARHGAP8,277,310,210,141,194,241,194,198
ARHGDIA,8811,7170,8644,8640,7611,7910,8864,8958
ARHGDIB,17,28,9,4,22,15,2,21
ARHGDIG,1649,1226,319,850,1319,1322,849,1016
ARHGEF1,5404,4516,4974,3906,3140,3217,3040,3339
ARHGEF10,914,871,728,913,759,895,1100,1184
ARHGEF10L,1929,1867,1556,921,805,779,523,588
ARHGEF11,2924,2948,2909,3032,1542,2106,2188,2107
ARHGEF12,7753,8238,10267,6547,4202,4925,4940,5416
ARHGEF16,3120,2555,3001,2375,2636,2447,2638,2725
ARHGEF17,1576,1515,1562,1127,901,1083,947,926
ARHGEF17-AS1,43,31,35,30,1,20,14,20
ARHGEF18,919,743,849,787,876,770,861,932
ARHGEF19,1178,945,543,871,727,695,481,422
ARHGEF2,2664,2493,2730,2302,2038,1989,1878,2112
ARHGEF2-AS2,23,28,17,19,40,22,24,6
ARHGEF25,252,189,196,152,59,45,34,53
ARHGEF26,1932,1853,1968,2098,2231,2155,2368,2491
ARHGEF26-AS1,20,26,33,58,66,42,92,105
ARHGEF28,1724,1766,3103,1043,1137,1223,1329,1442
ARHGEF3,487,423,408,568,300,393,462,439
ARHGEF35,419,314,304,280,248,265,251,194
ARHGEF37,203,202,128,256,189,284,165,153
ARHGEF38,198,232,230,345,385,440,505,532
ARHGEF39,716,770,377,642,1073,990,1039,980
ARHGEF4,49,84,34,74,47,88,53,76
ARHGEF40,73,49,51,112,68,40,51,65
ARHGEF5,680,729,834,715,536,648,710,682
ARHGEF6,124,145,40,117,159,127,156,124
ARHGEF7,1854,1872,1543,1444,1372,1586,1058,1224
ARHGEF9,564,566,317,647,439,456,380,384
ARID1A,5269,6265,5380,5907,4714,6273,6420,7307
ARID1B,3365,4060,3976,3498,2545,3009,2850,3209
ARID2,3128,3666,3547,3310,2243,2495,2149,2302
ARID3A,1649,1348,1876,1666,1310,1290,1238,1341
ARID3B,131,119,444,360,98,116,240,307
ARID4A,1544,1699,1599,1556,1173,1296,1027,1169
ARID4B,1313,1430,1262,1306,1253,1318,1185,1337
ARID5A,391,280,196,157,389,326,211,377
ARID5B,378,382,279,450,536,506,354,402
ARIH1,1416,1035,1110,972,1407,1332,1400,1356
ARIH2,3138,2738,3634,2467,2584,2307,2609,2767
ARL1,4803,5032,3667,4629,4630,3751,3228,3269
ARL10,7,7,11,0,4,3,4,0
ARL11,86,62,51,72,29,30,27,20
ARL13B,428,433,211,356,419,322,276,317
ARL14EP,472,519,293,488,496,447,354,416
ARL15,741,819,687,1257,649,510,507,615
ARL16,673,474,718,576,843,683,701,751
ARL17A,97,130,65,99,51,80,69,88
ARL17B,1,6,8,3,3,8,9,19
ARL2,3062,2416,1652,1412,2468,1796,1100,1442
ARL2BP,1037,927,1002,1563,950,781,902,814
ARL3,1926,1719,2206,2893,1839,1592,1418,1477
ARL4A,1091,834,800,711,821,737,778,721
ARL4C,80,83,4,9,38,84,13,33
ARL4D,78,65,46,60,65,60,50,36
ARL5A,3121,3111,2212,2010,3951,3538,3516,4122
ARL5B,1352,1484,2413,2048,1905,1747,2182,2275
ARL6,109,67,70,80,90,70,35,38
ARL6IP1,11760,11566,7079,11421,17368,13033,11887,13180
ARL6IP4,23,27,24,29,23,19,16,34
ARL6IP5,4105,3707,3215,3964,3030,2655,2930,2832
ARL6IP6,2841,2368,2200,2433,2002,1702,1733,1952
ARL8A,4695,3998,6304,4127,3610,3021,3444,3732
ARL8B,8033,7840,9023,8416,7598,6588,6651,6592
ARLNC1,37,27,15,10,32,32,17,26
ARMC1,1167,1084,1162,1499,1201,1101,1026,1263
ARMC10,7589,7232,3962,4591,6924,5893,4843,5565
ARMC12,8,31,19,13,6,8,0,14
ARMC2,81,91,76,100,49,44,33,57
ARMC3,4,1,5,5,21,6,11,17
ARMC5,696,623,501,600,534,642,516,671
ARMC6,3579,3083,2577,2177,3948,3607,3240,3663
ARMC7,1597,1305,1574,1142,986,939,841,977
ARMC8,2367,2272,1999,2333,2244,2012,1848,2181
ARMC9,788,697,594,649,436,414,252,296
ARMCX1,136,130,46,12,89,50,11,16
ARMCX2,7,8,1,19,4,3,11,3
ARMCX3,2420,1896,2353,2235,2694,2246,1770,1885
ARMCX4,12,6,0,4,1,6,1,0
ARMCX5,391,339,141,317,639,483,419,431
ARMCX5-GPRASP2,313,304,140,346,278,253,125,197
ARMCX6,1823,1571,1146,934,2332,2263,1306,1365
ARMH1,48,11,18,25,0,4,4,0
ARMH3,1886,1785,1547,1762,1431,1540,1380,1498
ARMH4,13,11,30,22,10,12,9,15
ARMT1,8373,8255,6613,8190,8158,7104,6072,6693
ARNT,4510,4416,4365,4451,3045,3326,2716,3262
ARNT2,2,7,12,14,9,7,0,10
ARNTL,464,320,422,445,325,251,345,338
ARNTL2,254,137,191,318,162,207,323,309
ARPC1A,20459,18026,15663,19759,21148,18559,17684,18711
ARPC1B,10310,8310,9121,8873,8022,6679,6350,6829
ARPC2,10746,8616,11625,12121,11663,10270,11183,12298
ARPC3,8901,7723,6917,9675,10248,7630,7230,7837
ARPC4,7543,5937,5779,7631,9143,7358,7554,8466
ARPC5,8600,7008,6129,7320,9000,7632,6534,7228
ARPC5L,4768,3735,4411,4594,3560,3340,3032,3335
ARPIN,2,2,5,9,2,7,14,4
ARPP19,28867,28598,30011,33951,21655,19571,20441,21978
ARRB1,2001,1999,1608,683,1547,1385,1418,1572
ARRB2,2100,1791,1285,1554,1951,1788,1608,1681
ARRDC1,6464,4710,7411,5777,6586,6195,6181,6376
ARRDC1-AS1,1049,883,1061,788,1181,1192,1041,1254
ARRDC2,1733,1398,1367,1099,1313,1177,1070,1268
ARRDC3,764,940,614,2146,1057,1163,877,986
ARRDC4,487,352,586,1161,247,289,174,226
ARSA,1819,1458,2277,1744,760,713,628,694
ARSB,700,790,188,281,572,617,361,477
ARSD,993,1092,1107,1862,710,653,731,808
ARSG,540,470,200,511,467,466,422,471
ARSJ,4,0,2,15,15,9,8,7
ARSK,259,274,258,247,286,245,240,221
ARTN,650,578,5492,413,302,164,341,380
ARV1,640,509,492,562,623,542,575,655
ARVCF,2546,2165,3359,2640,1571,1613,1633,1849
ARX,64,58,32,50,61,29,79,51
ASAH1,4443,3943,4167,3219,4988,4244,3809,4009
ASAH1-AS1,6,3,14,6,4,9,4,5
ASAH2,25,24,21,6,28,16,9,20
ASAH2B,196,223,41,153,295,263,80,118
ASAP1,1502,1546,2316,1568,990,1134,1288,1439
ASAP2,1513,1722,1276,1096,797,1020,984,988
ASAP3,1128,1203,641,831,262,295,171,175
ASB1,650,548,504,572,394,419,412,433
ASB13,2852,2246,1889,1669,3203,2897,2442,2705
ASB14,4,11,6,3,6,5,2,2
ASB16,48,60,53,32,19,38,31,30
ASB16-AS1,239,260,230,357,270,226,190,182
ASB18,1,10,5,0,1,10,4,8
ASB3,33,29,43,30,37,12,13,26
ASB6,1586,1220,1145,837,1012,1178,848,884
ASB7,633,639,758,825,562,466,585,568
ASB8,1714,1565,1742,2195,1708,1580,1413,1494
ASB9,11,6,2,1,23,10,9,12
ASCC1,1526,1306,1136,1465,856,729,544,669
ASCC2,4260,3678,4663,3672,4305,4524,4380,4765
ASCC3,1751,2103,2169,2704,1285,1523,1399,1699
ASCL1,13,10,35,118,1,5,7,6
ASCL2,1509,1214,893,1405,2867,2391,2228,2313
ASCL4,16,8,1,9,5,16,0,1
ASCL5,4,23,4,28,7,0,7,13
ASF1A,1376,1409,1472,1806,1568,1207,1268,1304
ASF1B,5790,4459,1888,2676,4861,4683,3294,3861
ASGR1,9,6,9,8,2,1,0,7
ASH1L,3660,4397,5204,3845,2856,3319,3645,3932
ASH1L-AS1,249,218,170,151,237,150,135,159
ASH2L,2349,2209,1760,2210,1976,1748,1494,1447
ASIC1,410,380,112,245,303,237,247,310
ASIC3,241,188,143,121,80,40,40,26
ASIC4,1,5,10,3,0,4,11,6
ASIP,0,3,3,9,3,13,8,6
ASL,1365,1193,656,920,869,868,495,574
ASMTL,1511,1233,417,867,1287,1223,847,858
ASNS,2344,2392,1464,2405,2511,2366,2252,2339
ASNSD1,2930,2908,2757,2726,2969,2807,2318,2597
ASPDH,5,4,22,8,4,3,18,20
ASPG,30,8,18,25,3,2,12,5
ASPH,675,591,494,490,805,738,948,936
ASPHD1,1722,1406,1216,1095,980,945,575,585
ASPHD2,26,13,50,34,22,25,22,31
ASPM,3966,4616,1428,2391,3503,4279,3298,3693
ASPRV1,346,369,357,358,264,219,291,332
ASPSCR1,3388,3045,2490,2854,3784,3225,3196,3138
ASRGL1,226,134,135,114,146,177,89,157
ASS1,11809,9011,6521,7941,7715,8145,4955,4900
ASS1P12,21,14,50,17,10,9,11,12
ASS1P14,2,4,1,4,5,7,7,12
ASTE1,362,352,173,222,447,370,266,308
ASTL,12,18,12,24,5,7,4,0
ASTN2,151,178,222,532,98,62,66,71
ASXL1,3113,2771,2642,1985,2442,2629,2225,2372
ASXL2,2164,3057,2845,2636,1517,1980,2264,2496
ASZ1,2,2,0,27,0,0,0,0
ATAD1,2280,2185,2745,2430,2105,1731,1705,1641
ATAD2,10841,11333,4870,7333,9863,10331,8991,9741
ATAD2B,1582,1754,1578,1880,1096,1161,1192,1214
ATAD3A,3014,2403,2055,1814,2333,2281,2337,2384
ATAD3B,1231,1175,1107,711,924,933,992,1029
ATAD3C,84,92,105,37,59,68,70,74
ATAD5,505,506,193,361,449,452,488,504
ATAT1,328,250,347,410,325,344,311,299
ATE1,1794,1861,1935,1887,1385,1466,1400,1695
ATE1-AS1,9,6,12,10,2,7,0,5
ATF1,1159,1024,1630,1695,1475,1287,1960,2047
ATF2,1822,1952,2174,1954,1852,1750,1578,1655
ATF3,73,117,692,153,399,425,557,400
ATF4,10649,7764,12822,8632,9952,9021,8256,8901
ATF5,1583,1150,1024,1160,1553,1679,1958,2095
ATF6,3626,3451,2495,3412,3620,3806,3928,4018
ATF6B,5799,5355,3715,4119,4580,4768,3727,4243
ATF7,555,605,591,763,612,492,519,686
ATF7-NPFF,1,3,5,0,3,0,5,4
ATF7IP,1288,1432,1144,1356,731,931,815,958
ATF7IP2,420,377,211,255,413,323,322,313
ATG10,719,706,465,702,761,598,514,599
ATG101,2894,2142,3154,2172,2529,2593,2612,2675
ATG12,1972,1878,2319,2379,2459,1833,2263,2389
ATG13,4192,3706,3315,3464,3141,2858,2248,2563
ATG14,883,893,821,847,709,539,548,608
ATG16L1,1980,1601,2062,1723,1014,1007,981,1104
ATG16L2,1302,1263,704,575,351,348,254,365
ATG2A,2939,2758,3178,2677,1480,1547,1270,1499
ATG2B,2637,2750,3455,2061,789,856,883,962
ATG3,2835,2716,2560,2813,2783,2248,1980,2266
ATG4A,730,649,1063,995,829,733,602,687
ATG4B,2765,2277,2733,2280,2049,2043,1913,1969
ATG4C,473,480,382,552,616,481,411,519
ATG4D,1716,1154,2315,1718,1256,1228,1200,1275
ATG5,1636,1460,2002,1996,1696,1364,1404,1604
ATG7,1838,1500,966,1395,1422,1483,1169,1247
ATG9A,4646,4288,4678,3280,2995,3038,2628,2893
ATG9B,10,1,18,9,1,9,13,16
ATIC,8650,8018,6391,7329,8636,7874,7564,8132
ATL1,65,65,38,34,30,48,6,22
ATL2,2897,3180,2063,1906,3132,3117,2472,2769
ATL3,5479,5528,4934,5742,5339,4594,4967,5071
ATM,1091,1366,683,838,678,644,501,627
ATMIN,6131,6016,7046,7961,5944,5992,6580,6984
ATN1,7271,7050,9316,6420,5097,5676,5776,6270
ATOH7,14,5,0,0,14,0,0,11
ATOH8,132,166,123,104,50,23,28,23
ATOX1,2928,2340,3114,3694,3340,2546,2723,2917
ATP10D,28,26,32,18,6,6,5,3
ATP11A,2605,3221,5354,3242,1420,1858,2106,2311
ATP11B,2204,2287,2441,2667,1565,1808,1963,2014
ATP11C,5446,6177,1895,2221,3751,3795,2327,2609
ATP12A,6,0,0,9,1,4,0,0
ATP13A1,4670,3996,5209,3730,4109,4108,4796,5001
ATP13A2,2290,2060,2253,1827,1290,1324,1135,1097
ATP13A3,9787,11426,10442,9277,8616,9148,10452,11132
ATP1A1,28697,25913,29545,23477,20479,21590,24284,26323
ATP1A1-AS1,212,253,225,278,202,149,146,128
ATP1A3,42,96,4,12,25,54,20,37
ATP1A4,9,11,24,0,0,0,0,0
ATP1B1,6949,5367,8083,3422,2920,2600,2705,2570
ATP1B2,7,2,10,0,0,8,1,5
ATP1B3,4767,4374,3534,2221,4509,3764,2955,3184
ATP23,334,339,351,432,367,353,392,417
ATP2A1,69,62,76,37,43,49,37,36
ATP2A1-AS1,53,45,16,54,70,83,53,47
ATP2A2,21120,20691,16298,18595,16347,19676,20202,22652
ATP2A3,17721,14683,10499,11151,9050,9686,7060,8161
ATP2B1,4430,4394,5524,5600,3901,3704,4269,4450
ATP2B1-AS1,152,136,145,275,111,113,117,161
ATP2B4,2810,3012,1464,2382,1690,1977,1502,1354
ATP2C1,3594,3665,3880,3871,4442,4045,4915,5789
ATP2C2,1098,977,507,518,987,1002,780,926
ATP2C2-AS1,5,15,11,14,24,20,8,12
ATP5F1A,20443,17775,16700,19644,23788,20512,20533,22964
ATP5F1B,58302,51413,22928,29082,64039,59291,40597,44788
ATP5F1C,11791,10026,9614,11601,12319,10102,10598,11781
ATP5F1CP1,1,4,7,1,2,6,1,6
ATP5F1D,9977,7568,6658,8263,10047,7995,8206,8679
ATP5F1E,19330,15855,14229,19001,22979,16846,18137,20158
ATP5IF1,4830,3861,2415,3339,3681,3335,2583,2969
ATP5MC1,4337,3350,2448,3569,5045,4265,3929,4569
ATP5MC2,15424,12397,9769,12254,17515,13408,12193,12948
ATP5MC3,12641,10522,9145,11964,14246,11711,12141,12869
ATP5ME,855,590,716,890,1044,776,819,992
ATP5MF,7359,5243,6027,7033,7847,6389,6375,7737
ATP5MG,6882,6114,5954,6838,8594,6226,6037,6953
ATP5MJ,7745,6504,5968,7758,9977,7058,7374,8037
ATP5MK,3337,2961,3190,4107,4788,3666,4050,4426
ATP5PB,14033,12772,11252,15161,18308,14360,14499,15712
ATP5PD,4666,3309,3645,4569,4237,3409,3431,3770
ATP5PF,2231,1660,1759,2506,2459,1945,1937,2241
ATP5PO,744,622,645,931,937,702,619,645
ATP6,38712,51751,39940,41753,38571,32952,33930,45829
ATP6AP1,13004,10657,12156,9823,9676,9290,7543,7901
ATP6AP1-DT,327,276,209,271,289,197,162,147
ATP6AP2,3543,3208,1997,2390,1308,1024,688,773
ATP6V0A1,2817,2637,3344,2736,1257,1299,1009,1282
ATP6V0A2,1726,1585,997,927,1351,1282,1057,1093
ATP6V0A4,359,186,26,49,441,281,155,142
ATP6V0B,4978,4184,5418,3599,5536,4281,3912,4031
ATP6V0C,46,38,53,63,31,35,31,29
ATP6V0D1,5647,4749,6597,5114,5118,4574,4192,4561
ATP6V0D1-DT,61,52,48,73,57,59,46,46
ATP6V0D2,1,0,0,6,32,36,8,3
ATP6V0E1,8527,7168,10400,7760,9053,7156,6970,7857
ATP6V0E2,2768,2120,2120,1671,913,738,698,887
ATP6V0E2-AS1,115,76,118,52,30,16,15,18
ATP6V1A,3127,2814,4161,4738,3301,2691,3248,3543
ATP6V1B1,301,168,85,67,142,96,60,68
ATP6V1B2,2462,2529,2009,2118,2045,1994,1440,1567
ATP6V1C1,4595,4402,4858,4491,2785,2265,1692,1840
ATP6V1C2,67,61,55,60,78,84,61,54
ATP6V1D,3322,2910,3687,3838,2365,1822,1600,1727
ATP6V1E1,5881,5214,5263,5359,4874,4005,3750,3900
ATP6V1E2,396,337,207,314,284,302,266,278
ATP6V1F,3708,2879,3848,3283,3213,2391,2277,2327
ATP6V1FNB,60,45,60,59,30,29,13,14
ATP6V1G1,5950,5974,6148,6146,5506,4384,3353,3786
ATP6V1G2,17,9,8,5,9,7,3,0
ATP6V1H,1261,1240,1320,1311,1269,1165,928,1190
ATP7A,550,647,840,621,416,423,416,459
ATP7B,665,699,675,709,342,415,327,403
ATP8,449,568,368,476,323,359,378,483
ATP8A1,276,345,40,140,140,87,55,82
ATP8A2,158,141,118,71,26,38,27,16
ATP8B1,1427,1461,2053,2131,2611,2240,4233,4313
ATP8B1-AS1,60,67,51,49,66,42,61,53
ATP8B2,3668,3075,7873,3905,3484,3873,3664,4215
ATP8B3,13,10,2,11,13,6,8,6
ATP9A,4569,4694,2967,2939,4245,4625,3686,3999
ATP9B,529,468,190,449,379,372,326,361
