Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
EIF3B,26153,22896,20927,18664,22567,21336,20847,23399
EIF3C,2421,2268,1817,2076,1910,2049,2028,2295
EIF3CL,163,113,157,114,139,111,158,128
EIF3D,7594,7000,6548,7156,7472,6822,7169,7815
EIF3E,23195,21631,22224,23135,26686,19897,19550,21640
EIF3EP1,11,10,6,11,3,9,9,10
EIF3F,14191,11600,15070,14595,13025,10879,11623,12633
EIF3FP3,40,53,71,69,74,44,89,68
EIF3G,5519,4539,5836,4789,4785,3958,4344,4512
EIF3H,8515,7970,8195,9081,8591,6581,6331,6952
EIF3I,8262,7845,7996,8965,10275,8757,9308,10101
EIF3J,3863,3505,1970,2147,4019,3338,1886,2057
EIF3J-DT,360,326,314,411,441,419,334,391
EIF3K,8304,6968,7180,8975,10351,8379,8788,8975
EIF3L,12646,11200,13313,11909,12413,10115,11686,11937
EIF3LP3,2,2,3,1,0,3,7,2
EIF3M,3193,3140,3524,3813,3675,3023,2942,3146
EIF4A1,93,122,64,74,46,32,49,82
EIF4A1P10,57,54,69,58,60,47,81,82
EIF4A1P2,22,21,16,23,30,26,16,26
EIF4A1P4,7,7,8,5,10,7,2,5
EIF4A1P7,5,3,0,8,1,0,5,1
EIF4A2,11625,12088,9957,6693,15223,11554,9559,11077
EIF4A3,10098,8757,7088,7077,9469,8715,7731,8205
EIF4B,56526,51954,53492,42578,56455,50423,46160,50153
EIF4BP3,532,324,440,318,509,387,340,369
EIF4E,3188,2719,1479,2101,3246,2769,1984,2320
EIF4E2,2473,2149,2405,3150,3183,3033,3332,3472
EIF4E3,765,711,291,347,353,416,199,276
EIF4EBP1,5419,4419,3117,1618,4452,3533,2835,3122
EIF4EBP2,11731,11478,10037,12646,13541,14103,14273,15059
EIF4EBP3,1,6,13,0,0,0,1,3
EIF4ENIF1,1528,1438,1351,1429,860,872,842,943
EIF4G1,46501,42764,34783,24783,30825,35939,27339,31126
EIF4G2,33965,34894,32841,40791,36217,36435,41037,44365
EIF4G3,4114,4388,4676,3987,2336,2773,2705,3010
EIF4H,27147,24275,21362,23862,24012,24237,23153,25217
EIF5,13129,12826,12075,10626,17124,16705,16093,16844
EIF5A,25769,19796,16206,19942,31238,27923,29333,32156
EIF5A2,209,266,129,231,321,378,287,312
EIF5AL1,64,33,60,46,100,58,77,75
EIF5B,6985,7767,6572,7048,6885,6912,6925,7450
EIF6,4792,4146,3435,3573,4771,4136,3787,3968
EIPR1,2074,1673,1424,1754,1996,1597,1477,1684
ELAC1,62,63,84,105,85,42,72,61
ELAC2,4478,4053,3228,3070,4054,3804,3530,3751
ELAPOR1,5535,4978,961,2473,5407,5645,2367,2794
ELAPOR2,1892,2141,1143,1400,1376,1469,899,1039
