"","SYMBOL","GSM4143534","GSM4143535","GSM4143536","GSM4143537","GSM4143538","GSM4143539","GSM4143540","GSM4143541","GSM4143542","GSM4143543","GSM4143544","GSM4143545","GSM4143546","GSM4143547","GSM4143548","GSM4143549"
"281","KIAA1671-AS1",0,2,0,0,1,1,0,2,1,1,0,2,1,2,1,0
"282","MIR29B2CHG",0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1
"283","CTAGE4",12,38,7,24,6,30,10,38,12,46,6,62,11,41,7,44
"284","LINC02347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","MYHAS",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"286","RANBP3-DT",0,2,0,0,0,3,2,2,0,0,0,1,1,0,0,2
"287","TEKTIP1",9,70,12,60,29,117,22,110,13,73,24,85,18,88,23,100
"288","SLC8A1-AS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"289","LOC100128593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290","TMSB15B-AS1",0,0,1,2,0,2,0,1,0,0,1,2,0,0,0,2
"291","CDC42P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292","ACVR2B-AS1",2,3,2,5,2,7,1,4,2,4,0,12,1,14,0,5
"293","LOC100128653",1,9,2,6,2,5,2,21,1,2,3,5,4,2,2,11
"294","HPN-AS1",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"295","LINC01531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"296","GPR50-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"297","LINC02346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298","OST4",94,421,79,321,130,528,127,509,126,562,120,707,104,602,148,577
"299","RBPMS-AS1",1,4,0,3,1,10,3,8,1,6,1,11,1,8,2,7
"300","LOC100128770",1,11,3,4,4,6,4,11,2,14,1,6,6,10,2,10
"301","ERCC6L2-AS1",8,39,7,29,24,101,13,89,9,59,13,60,24,65,14,61
"302","LINC01349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"303","SRRM2-AS1",2,5,1,4,1,10,2,5,4,4,0,5,4,6,1,8
"304","GPR158-AS1",0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"305",NA,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0,2
"306","LINC01003",3,17,3,9,4,8,4,8,1,12,5,28,4,20,0,23
"307","VPS9D1-AS1",68,309,62,248,106,488,104,520,84,386,84,331,63,470,70,391
"308","ZFPM1-AS1",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2
"309","LOC100128885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"310","FAM66B",0,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
"311","GATA6-AS1",0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"312","LINC01960",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"313","CIROP",1,2,0,0,1,4,1,3,0,4,1,3,2,3,0,4
"314","ZBTB42",19,93,16,63,19,97,14,76,21,85,29,142,11,76,21,115
"315","LINC01310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"316","LOC100128966",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2
"317","MAPT-AS1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
