"","SYMBOL","GSM1921811","GSM1921812","GSM1921813","GSM1921814","GSM1921815","GSM1921816","GSM1921817","GSM1921818"
"14446","LOC107984343",0,0,0,0,0,0,0,0
"14447",NA,42,111,127,92,87,88,34,98
"14448","SMIM38",4,2,7,4,3,2,2,7
"14449","LOC107984346",0,0,1,0,0,2,0,1
"14450",NA,128,330,456,310,376,392,144,463
"14451",NA,0,0,1,0,0,0,0,0
"14452","LOC107984352",2,1,2,0,1,1,0,1
"14453",NA,0,0,0,0,0,0,0,0
"14454","LOC107984358",0,0,0,0,0,0,0,0
"14455","LINC02761",0,0,0,0,0,0,0,1
"14456",NA,0,0,0,0,0,0,0,0
"14457","LOC107984361",1,0,0,1,0,0,0,0
"14458","LOC107984362",0,0,0,0,0,0,0,0
"14459",NA,0,0,0,0,0,0,0,0
"14460","LOC107984364",0,0,0,0,0,0,0,0
"14461","LINC02723",0,0,0,0,0,0,0,0
"14462","LOC107984368",0,0,0,0,0,0,1,0
"14463","LOC107984369",0,0,1,0,1,1,0,0
"14464","LOC107984370",0,0,0,0,0,0,0,0
"14465","LOC107984371",0,0,0,0,0,0,0,0
"14466","LOC107984372",0,0,0,0,0,0,0,0
"14467","LOC107984373",0,0,0,0,0,0,0,0
"14468","LOC107984374",0,0,0,0,0,0,0,0
"14469","LOC107984375",0,0,0,0,0,0,0,0
"14470",NA,2,2,7,6,1,4,0,2
"14471","LOC107984377",0,0,0,0,0,0,0,0
"14472","LOC107984378",0,0,0,0,0,0,0,0
"14473","LOC107984379",0,0,0,0,0,0,0,0
"14474","LOC107984380",0,0,0,0,0,0,0,0
"14475","LOC107984381",0,0,0,0,0,0,0,0
"14476",NA,0,1,0,0,0,1,0,0
"14477","LOC107984385",0,0,0,0,0,0,0,0
"14478","LOC107984386",0,0,0,0,0,0,0,0
"14479",NA,1,4,13,9,5,2,2,3
"14480","LOC107984388",0,0,0,1,0,0,0,0
"14481","LOC107984389",0,0,0,0,0,0,0,0
"14482","LOC107984390",0,5,8,3,4,5,1,4
"14483","LOC107984391",5,1,4,3,4,10,4,14
"14484","LOC107984393",0,0,0,0,0,0,0,0
"14485",NA,0,0,0,0,0,1,0,0
"14486","CENATAC-DT",4,11,19,10,20,16,11,33
"14487",NA,5,10,20,14,12,11,2,17
"14488","LOC107984398",0,1,3,2,2,1,1,1
"14489","LOC107984399",0,0,0,0,0,0,0,0
"14490","LOC107984400",0,0,0,0,1,0,0,0
"14491","LOC107984402",0,0,0,0,0,0,0,0
"14492",NA,0,0,0,0,0,0,0,0
"14493","LOC107984404",0,0,0,0,0,0,0,0
"14494","LOC107984405",0,0,0,0,0,0,0,0
"14495","LOC107984406",2,2,6,2,1,4,2,2
"14496","LOC107984407",0,0,0,0,0,0,0,0
"14497",NA,0,0,0,0,0,0,0,0
"14498","LOC107984409",1,0,1,1,1,0,0,1
"14499",NA,5,6,9,1,4,4,1,9
"14500","LOC107984411",0,0,0,0,0,0,0,0
"14501","LOC107984412",0,0,0,0,0,0,0,0
"14502","LOC107984413",0,0,0,0,0,0,0,0
"14503","LINC02730",0,1,0,0,0,1,0,0
"14504",NA,1,0,0,0,1,1,0,0
"14505","LOC107984418",22,39,82,53,51,52,16,83
"14506","LOC107984419",0,0,0,0,0,0,0,0
"14507","LOC107984420",0,0,0,0,0,0,0,0
"14508","LOC107984421",63,184,217,130,201,224,61,263
"14509",NA,0,0,0,0,0,0,0,0
"14510",NA,0,0,2,1,0,0,1,0
"14511","LOC107984425",0,0,0,0,2,0,1,0
"14512","LINC02695",1,4,1,1,0,2,0,6
"14513","ME3-DT",1,5,6,3,2,2,3,3
"14514","LOC107984428",2,2,2,0,15,8,2,1
"14515","LOC107984429",0,0,0,0,0,0,0,0
"14516",NA,0,0,0,0,0,0,0,0
"14517","LOC107984431",0,0,0,0,0,0,0,0
"14518","LOC107984432",2,4,7,3,8,13,5,13
"14519","LOC107984433",5,3,4,2,2,4,1,3
"14520","LOC107984435",0,0,0,0,0,0,0,0
"14521",NA,0,4,6,2,8,5,3,7
"14522",NA,0,0,0,0,0,0,0,0
"14523",NA,0,0,0,0,0,2,0,0
"14524","LINC02457",0,0,0,0,0,0,0,0
"14525","LOC107984440",1,0,0,0,0,0,0,0
"14526",NA,5,1,8,2,2,2,1,6
"14527",NA,1,2,2,2,0,1,0,1
"14528","LOC107984445",0,0,0,0,1,0,0,0
"14529","LINC02467",0,0,0,0,0,0,0,0
"14530","LOC107984447",0,0,0,0,0,0,0,0
"14531","LOC107984448",0,0,0,0,0,0,0,0
"14532","LOC107984449",1,0,0,0,1,1,0,0
"14533","LOC107984450",0,0,1,0,3,0,1,0
"14534",NA,0,1,3,2,2,1,1,5
"14535","LOC107984452",0,0,0,0,0,0,0,0
"14536","LOC107984455",3,0,0,5,2,3,1,4
"14537",NA,0,0,0,0,0,0,0,0
"14538",NA,59,56,115,54,101,63,37,74
"14539","MRPS35-DT",5,10,8,7,4,4,3,6
"14540","LOC107984462",0,2,0,0,0,0,0,0
"14541","LOC107984466",1,1,1,0,3,3,1,1
