"","SYMBOL","GSM2211605","GSM2211606","GSM2211607","GSM2211608","GSM2211609","GSM2211610","GSM2211611","GSM2211612","GSM2211613","GSM2211614"
"5179","PARAL1",0,0,0,0,0,0,0,1,0,0
"5180","LOC101929372",10,11,7,8,9,8,12,5,7,9
"5181","LOC101929373",0,0,0,0,1,0,1,2,0,0
"5182","LINC01659",4,4,3,1,1,2,3,8,3,3
"5183","LINC01876",68,57,77,96,101,100,98,130,84,103
"5184","LOC101929380",0,0,1,2,3,3,0,1,0,1
"5185","SLC6A12-AS1",1,2,1,1,0,2,1,0,0,0
"5186","LOC101929386",0,2,1,1,0,0,0,1,0,2
"5187","LMF1-AS1",0,1,0,0,1,0,1,1,0,1
"5188","LOC101929388",4,5,6,4,4,2,0,5,1,1
"5189","LINC01247",0,0,0,0,0,0,0,0,0,0
"5190","LINC01752",1,0,0,0,0,0,0,1,0,0
"5191","LINC01518",253,218,248,511,495,512,306,311,325,444
"5192","LOC101929398",0,0,0,0,0,0,0,0,0,1
"5193","LOC101929400",27,30,31,57,55,49,39,44,63,69
"5194","EXTL3-AS1",5,9,8,5,11,5,7,6,1,13
"5195","LINC01648",1,0,0,0,0,1,2,0,1,0
"5196","PTPRD-AS1",0,0,0,0,0,0,0,0,0,0
"5197","LOC101929408",1,1,2,0,0,0,0,0,3,2
"5198","LOC101929411",3,1,1,7,4,3,0,0,2,3
"5199","LINC02212",1,0,0,0,1,0,0,0,0,0
"5200","LOC101929413",0,0,0,0,0,1,0,0,0,0
"5201","PENK-AS1",0,0,0,1,0,0,0,0,1,1
"5202",NA,0,1,2,3,4,5,2,1,3,0
"5203","LOC101929420",0,0,0,1,0,1,0,0,0,0
"5204","LINC02285",1,0,0,0,0,1,0,0,0,0
"5205","MEF2C-AS1",1,2,2,1,1,1,6,3,3,3
"5206","BTBD9-AS1",0,1,0,0,1,0,0,4,1,0
"5207","LOC101929427",10,17,12,12,15,14,22,17,15,15
"5208","PTPRD-DT",0,0,0,0,0,0,0,0,0,0
"5209","LOC101929431",1,3,3,5,3,0,5,4,3,3
"5210","LOC101929432",0,0,0,0,1,0,0,0,1,0
"5211","PRRX2-AS1",1,0,1,0,0,0,0,1,0,0
"5212","LOC101929439",1,2,2,2,2,2,1,4,3,1
"5213","LOC101929440",0,1,1,1,0,1,0,0,0,1
"5214","ERLNC1",42,45,48,52,66,59,46,38,51,57
"5215","LOC101929444",59,55,33,21,30,32,34,39,24,35
"5216","LINC02623",2,0,0,1,1,0,1,0,0,0
"5217","LOC101929446",0,0,0,0,0,0,0,0,0,0
"5218","IATPR",4,1,1,0,0,0,2,0,0,1
"5219","LINC02428",2,2,1,6,3,1,2,4,4,4
"5220","LINC02099",9,8,6,34,27,34,2,0,2,3
"5221","LOC101929452",1,3,2,2,0,1,2,3,0,0
"5222","LINC02149",0,0,0,0,0,0,0,0,0,0
"5223","LOC101929457",3,3,2,6,9,5,4,2,0,1
"5224","TMCC2-AS1",2,3,1,3,2,3,0,4,3,0
"5225","LOC101929460",0,0,0,0,0,1,1,1,0,0
"5226","PHC2-AS1",5,2,3,5,7,2,2,2,3,11
"5227","LURAP1L-AS1",16,22,21,99,99,109,25,35,105,106
"5228","CXXC4-AS1",10,17,9,10,8,10,17,16,15,14
"5229","TEX52",34,36,28,33,41,36,23,18,29,25
"5230","LOC101929470",13,18,11,34,37,34,1,0,4,5
"5231","CTD-2350J17.1",0,0,0,0,0,0,1,0,0,0
"5232","LOC101929473",0,0,1,0,0,0,1,0,0,0
"5233","ITGB1-DT",121,122,131,148,157,174,122,124,148,175
"5234","LINC01698",1,0,1,1,2,3,2,1,1,2
"5235","LINGO1-AS2",0,0,1,0,0,0,0,0,0,0
"5236","LOC101929479",557,514,470,505,490,518,738,634,664,883
"5237","MAPK8IP3-AS1",5,8,2,9,6,5,2,4,12,15
"5238","LINC01615",12,23,21,21,20,12,8,3,4,17
"5239","LOC101929485",2,0,0,2,1,1,0,1,0,0
"5240","LINC01722",1,0,1,0,3,1,2,2,6,3
"5241","LOC101929488",0,0,0,0,0,0,0,0,0,0
"5242","LOC101929492",0,0,0,0,0,0,1,0,0,1
"5243","LOC101929494",146,132,137,146,185,213,93,65,86,133
"5244","LINC01339",1,0,0,0,2,0,1,1,1,1
"5245","LINC02712",0,0,0,0,0,1,0,0,0,0
"5246",NA,0,0,0,0,0,0,0,1,0,0
"5247","LINC02544",4,7,10,9,10,5,3,5,8,7
"5248","LINC02150",2,0,1,0,1,0,0,1,1,1
"5249","LOC101929506",16,24,18,24,25,23,36,38,29,35
"5250","LOC101929507",0,0,0,3,1,0,1,2,1,0
"5251","LOC101929510",0,0,0,2,0,4,1,2,0,0
"5252","LINC01970",4,13,13,14,14,12,6,7,9,12
"5253","PSMD14-DT",4,10,3,13,10,13,7,9,7,9
"5254","PABPC4-AS1",405,390,431,199,249,220,461,400,195,274
"5255","ETS1-AS1",0,0,0,0,0,0,0,0,0,0
"5256","LINC00993",2,0,0,0,0,0,0,0,1,0
"5257","THBS2-AS1",20,31,19,39,44,38,29,16,36,50
"5258","RETREG1-AS1",16,26,17,27,25,23,24,18,11,19
"5259","DTD1-AS1",1,0,0,0,0,0,0,0,0,0
"5260","LOC101929528",0,0,0,0,0,0,0,0,0,0
"5261","GSTCD-AS1",1,1,4,3,3,2,2,5,2,0
"5262","LINC01871",0,0,0,0,0,2,0,0,0,0
"5263","LOC101929532",21,23,18,13,14,9,4,4,3,4
"5264","LOC101929534",0,1,2,3,0,1,1,1,0,0
"5265","LOC101929535",0,0,0,0,0,0,0,0,0,0
"5266","LOC101929536",0,0,0,0,0,0,0,0,0,0
"5267","LOC101929538",0,0,0,0,0,0,0,0,0,0
"5268","LINC01422",1,1,4,1,3,1,2,3,3,5
"5269","LOC101929540",51,42,34,90,96,95,48,43,73,115
"5270","LINC02608",11,13,16,48,60,46,20,9,50,48
"5271","PRKD3-DT",2,2,2,1,2,5,1,3,2,5
"5272","LINC02217",0,0,0,0,0,0,0,0,0,0
"5273","LOC101929547",0,1,0,0,1,1,0,1,1,1
"5274","FOCAD-AS1",2,1,4,1,4,4,2,3,0,4
"5275","GAU1",2,1,0,6,3,7,2,3,1,0
"5276","LOC101929550",0,0,0,0,1,1,0,0,1,0
"5277","LOC101929551",0,0,0,0,0,0,0,0,0,0
"5278","LOC101929552",1,3,2,1,3,2,0,3,0,2
"5279","LOC101929555",8,22,16,13,11,15,29,30,14,10
"5280","LINC01395",0,1,0,1,1,1,1,0,0,0
"5281","LINC00211",7,1,4,5,5,7,7,3,1,2
"5282","ARNT2-DT",2,3,2,1,0,1,0,2,0,5
"5283","LOC101929563",33,45,43,20,23,27,50,56,30,37
"5284","LINC01740",0,0,0,1,0,0,0,0,2,0
"5285","LOC101929566",14,11,16,13,13,10,7,6,6,12
"5286","LINC01814",79,58,51,41,41,50,80,85,43,64
"5287","KCNH7-AS1",0,0,0,0,0,0,0,0,0,0
"5288","LOC101929572",5,7,5,11,11,9,12,12,8,9
"5289","TSPAN14-AS1",20,15,20,14,16,9,19,20,11,12
"5290","CFAP61-AS1",48,39,38,84,73,96,16,11,22,36
"5291","LOC101929577",4,0,4,6,2,2,2,8,4,3
"5292","LOC101929578",0,0,0,1,1,0,0,0,0,0
"5293","CCDC54-AS1",1,0,0,0,1,0,1,2,0,1
"5294","GTF2IP23",27,32,26,72,91,89,31,39,46,76
"5295","LINC01241",0,0,0,0,0,0,0,0,0,0
"5296","LOC101929583",4,5,3,10,10,12,1,2,8,7
"5297","LINC02443",0,0,0,0,1,0,0,0,0,0
"5298","LOC101929586",6,3,2,5,9,9,3,7,4,2
"5299","NRG3-AS1",5,2,5,3,3,6,4,2,5,8
"5300","KIZ-AS1",11,6,11,16,15,9,12,11,13,15
"5301","ST3GAL3-AS1",2,0,0,1,4,0,3,0,0,2
"5302","LOC101929594",1,2,0,0,1,1,2,0,0,1
"5303","CYP2U1-AS1",12,10,7,9,7,3,9,7,9,12
"5304","LINC02613",6,9,6,12,19,18,7,14,21,22
"5305","LOC101929599",9,8,7,11,20,14,11,14,14,14
"5306","LOC101929601",1,2,4,2,2,2,0,0,0,2
"5307","IFT74-AS1",3,0,3,2,2,1,1,3,3,3
"5308","LINC01990",0,1,2,1,0,1,0,1,1,1
"5309","LINC01726",1,2,4,3,2,3,1,1,0,1
"5310","LOC101929609",101,106,96,126,130,127,115,85,104,138
"5311",NA,0,1,0,0,0,0,2,0,0,0
"5312","LOC101929614",70,62,55,74,88,76,82,86,45,62
"5313","LOC101929617",0,0,1,0,0,0,0,0,1,0
"5314","LINC01243",0,0,0,0,0,1,0,0,0,0
"5315","LOC101929621",0,0,0,0,1,1,0,1,0,0
"5316","LOC101929622",0,0,0,0,0,0,0,0,0,2
"5317","LINC01215",7,3,3,8,6,9,0,0,1,0
"5318","LINC01519",0,0,0,0,0,0,0,0,0,0
"5319","LINC01727",4,1,6,3,1,3,3,2,2,2
"5320","LOC101929626",1,1,2,1,1,0,2,2,1,5
"5321","LOC101929627",1,2,1,2,2,2,0,0,1,1
"5322","LINC02842",0,0,0,0,1,3,0,0,0,1
"5323","LINC01653",0,0,0,0,0,0,0,0,0,0
"5324","LOC101929633",0,0,0,1,0,0,0,0,0,0
"5325","LINC02280",5,7,1,5,10,7,9,10,6,2
"5326","NTM-AS1",1,0,0,1,0,0,0,0,0,0
"5327","LOC101929638",57,59,46,51,62,85,66,72,75,82
"5328","B4GALT1-AS1",86,82,66,78,82,82,74,51,72,109
"5329","LOC101929643",8,7,8,24,24,28,12,8,18,24
"5330","LOC101929645",1,2,4,6,5,4,4,3,2,1
"5331","LINC02647",0,0,0,0,0,0,0,0,0,0
"5332","LOC101929650",1,0,1,2,1,2,1,0,1,2
"5333","LINC01398",7,14,8,7,6,7,9,6,6,12
"5334","LOC101929653",0,0,0,0,0,0,0,0,0,0
"5335","TMC3-AS1",12,16,15,9,12,10,16,18,17,19
"5336","LOC101929657",3,4,0,2,4,2,5,7,1,2
"5337","LINC02109",41,29,29,85,83,85,45,71,60,72
"5338","LOC101929662",0,0,0,0,0,0,0,0,0,0
"5339","LINC01427",0,0,0,0,0,0,0,0,0,0
