"","SYMBOL","GSM3535477","GSM3535478","GSM3535479","GSM3535480","GSM3535481","GSM3535482"
"16906","SNORA70I",0,0,0,0,0,0
"16907","SNORA74C-2",0,0,1,1,0,0
"16908","SNORA77B",10,9,5,5,11,6
"16909","SNORD28B",0,0,0,0,0,0
"16910","SNORD53B",2,3,4,1,1,0
"16911","SNORD63B",30,36,68,36,31,36
"16912","SNORD74B",0,0,0,0,0,0
"16913","SNORD3E",0,0,0,0,0,0
"16914","SNORD3H",0,0,0,0,0,0
"16915","SNORD3K",2,4,5,2,12,7
"16916","SNORD13H",1,0,0,0,0,0
"16917","SNORD13B-1",0,0,0,0,0,0
"16918","SNORD13E",0,0,1,0,2,0
"16919","SNORD13B-2",0,0,0,0,0,0
"16920","SNORA15B-2",2,1,3,2,1,1
"16921","SNORA58B",3,1,2,0,4,2
"16922","SNORD38C",0,0,0,0,0,0
"16923","SNORD13J",0,0,0,0,0,0
"16924","MLLT11",308,233,327,143,113,103
"16925","SNORD155",0,0,0,0,0,0
"16926","SNORD157",16,1,9,5,1,6
"16927","SNORD159",15,1,19,6,7,7
"16928","SNORD161",0,0,0,0,0,0
"16929","SNORD162",1,1,0,0,0,0
"16930","SNORD165",0,0,0,0,0,0
"16931","SNORD167",2,2,4,7,8,4
"16932","SNORD168",0,0,0,0,0,0
"16933","SNORD170",0,1,0,1,0,2
"16934","SNORA25B",0,0,0,0,2,0
"16935","SNORD138",4,2,7,6,4,4
"16936","SNORA113",0,0,0,0,0,0
"16937","SNORA116",0,0,0,0,0,0
"16938","SNORA117",0,1,1,0,0,1
"16939","SNORA119",9,6,14,8,9,4
"16940","SNORD147",0,0,0,0,0,0
"16941","SNORD148",0,0,0,0,0,0
"16942","SNORD150",0,1,0,1,0,0
"16943","SNORD151",0,0,0,0,0,0
"16944","SNORD175",1,5,1,4,4,3
"16945","SNORD158",0,0,0,0,0,0
"16946","SNORD172",0,0,0,0,0,0
"16947","SNORD145",1,1,0,0,0,0
"16948","SNORD152",0,0,0,0,0,0
"16949","SNORD154",0,0,0,0,0,0
"16950","SNORD156",0,0,0,0,0,0
"16951","SNORD160",4,3,3,0,0,1
"16952","SNORD163",0,0,0,0,0,0
"16953","SNORD166",0,0,0,0,0,0
"16954","SNORD169",0,0,0,0,0,0
"16955","SNORD173",0,0,0,0,0,0
"16956","SNORA112",0,0,0,0,2,1
"16957","SNORA115",0,0,0,0,0,0
"16958","SNORA118",0,0,0,0,0,0
"16959","SNORD146",0,0,0,1,0,0
"16960","SNORD149",0,0,0,0,0,0
"16961","SNORD153",60,72,54,46,47,30
"16962","SNORD164",0,0,0,0,0,0
"16963","SNORA114",0,1,1,0,0,0
"16964","STIP1",11097,10125,10189,8920,11073,5376
"16965","IFI44L",4969,4648,6254,5565,6811,4984
"16966","ACOT2",1694,1210,1462,1583,1628,971
"16967","RAB40B",391,445,465,722,725,404
"16968","EBNA1BP2",3721,2881,3496,2470,2472,1496
"16969","CKAP4",4216,4847,4430,4190,4795,2533
"16970","HTD2",675,616,663,545,592,365
"16971","YWHAQ",10212,7850,9866,8289,8748,5420
"16972","TMED10",8821,7681,8933,7390,8038,4692
"16973","SNORA120",0,0,0,0,0,0
"16974","FAM236C",0,0,0,0,0,0
"16975","KRT7-AS",4,7,8,6,4,4
"16976","LINC01930",0,1,0,0,0,0
"16977","LINC02231",0,0,0,0,0,0
"16978","LINC02233",0,0,0,0,0,0
"16979","LINC02236",0,0,0,0,1,0
"16980","MIR4422HG",0,0,0,0,0,0
"16981","MEF2C-AS2",0,0,0,0,0,0
"16982","TDRKH-AS1",13,12,10,15,22,13
"16983","POC1B-AS1",12,12,19,11,24,11
"16984","LNCSRLR",0,0,0,0,0,0
"16985","LINC02234",18,7,18,17,8,3
"16986","LINC02238",0,0,0,0,0,1
"16987","LINC02154",1,3,3,8,12,1
"16988","TFAP2A-AS2",9,15,10,24,29,18
"16989","MIR4713HG",3,1,0,1,2,1
"16990","SNHG26",168,136,177,357,273,242
"16991","ZNF710-AS1",81,79,65,46,64,31
"16992","DM1-AS",211,271,233,474,482,264
"16993","SLC12A5-AS1",40,40,43,19,30,14
"16994","ASCC3",3681,2747,3531,7775,10695,6265
"16995","ADIRF",26,18,26,18,27,18
"16996","UQCR11",4421,3149,3772,4048,3665,2312
"16997","CLP1",556,448,577,1924,2311,1050
"16998","FERMT2",3403,2563,3073,1628,1770,1221
"16999","COPS6",4309,3385,3620,3152,3370,1663
"17000","RAB32",9706,4119,8599,6430,4723,3685
"17001","MAPRE2",942,622,998,626,494,418
"17002","CCNI",8409,7794,7892,6576,7010,4299
"17003","KCNQ1OT1",91,186,193,149,267,160
"17004","GCN1",10237,9443,9705,10236,11941,6518
"17005","MIR302CHG",124,89,149,93,111,71
"17006","RNA45SN4",39088,33987,77879,149403,69672,61668
"17007","RNA28SN4",32416,28310,65690,122298,56947,50426
"17008","RNA18SN4",4818,3955,8822,17315,7445,6474
"17009","RNA5-8SN4",573,481,1130,2558,1020,910
"17010","RNA45SN2",12683,10978,25040,48887,23457,20786
"17011","RNA18SN2",1740,1418,3158,6124,2675,2360
"17012","RNA5-8SN2",90,81,173,462,213,183
"17013","RNA28SN2",9910,8570,20079,36843,17266,15310
"17014","COPS5",1795,1487,1660,1263,1382,780
"17015","METAP2",4424,3301,4289,4232,4793,2938
"17016","IMMT",7358,5104,6807,6284,6451,4026
"17017","LILRB5",1,0,1,1,1,0
"17018","SLC38A3",4,7,6,117,164,58
"17019","RNA45SN3",18118,15802,36307,69479,32655,28452
"17020","RNA18SN3",3719,3043,6890,13632,5771,5033
"17021","RNA5-8SN3",429,364,855,1954,782,698
"17022","RNA28SN3",13179,11588,27176,49064,23068,20061
"17023","SF3B2",10372,8816,9293,10407,11395,6321
"17024","SDS",2,2,6,4,0,0
"17025","ILVBL",3227,1991,2774,2406,2165,1309
"17026","PKD1P3-NPIPA1",6883,4892,7138,4318,4402,3079
"17027","SLC27A5",250,262,248,243,287,176
"17028","SLC27A4",2016,1175,1958,2356,1883,1372
"17029","SLC27A3",180,254,209,340,416,234
"17030","PKD1P5-LOC105376752",9847,7087,10263,6532,6593,4594
"17031","PKD1P4-NPIPA8",6821,4894,7022,4367,4439,3169
"17032","PPIP5K1P1-CATSPER2",574,425,563,300,386,242
"17033","ANKRD20A4-ANKRD20A20P",1,3,3,11,11,6
"17034","SLC27A2",19,43,23,12,25,5
"17035","KIF2C",3805,1294,3100,62,29,46
"17036","SPINK5",0,0,0,0,0,0
"17037","LILRB4",0,0,0,0,0,0
"17038","CCDC85B",1708,2711,1529,1268,1692,759
"17039","IL24",0,0,0,0,0,0
"17040","LOC110091768",3,0,0,1,0,0
"17041","CFAP298-TCP10L",863,739,826,707,731,414
"17042","LOC110091776",12,14,15,73,137,47
"17043","LOC110091777",23,25,30,37,45,22
"17044","CHAD",5,13,6,2,2,0
"17045","GLIPR1",1004,731,1052,884,977,722
"17046","TLK2",3053,2331,3038,2127,2410,1490
"17047","ZNF765-ZNF761",265,301,302,442,620,320
"17048","P3R3URF",0,0,1,0,0,0
"17049","P3R3URF-PIK3R3",879,397,841,561,416,319
"17050","KLK11",11,21,6,5,13,3
"17051","TMSB15A",3,2,0,0,0,0
"17052","KDELR2",5969,4641,5744,5263,5241,3140
"17053","KDELR3",534,748,590,418,552,214
"17054","ATF7",2270,2028,2036,1429,1684,967
"17055","SNRNP27",1160,875,1141,1288,1428,757
"17056","MIR4527HG",0,0,0,0,0,0
"17057","TMED1",1755,1342,1503,1452,1552,917
"17058","LIAS",1016,835,1013,497,529,299
"17059","RCBTB2",153,161,173,182,229,128
"17060","IFT27",589,723,645,774,772,436
"17061","RAB35",2663,2001,2349,3126,3213,1805
"17062","TDRKH",318,398,298,289,476,179
